arm_id	estimator	genotype_class	conditioned_on_presence	threshold_years	n_selected	n_significant	power	median_p_value	median_observed	n_null	arm_label
chb_from_introgression	gamma_smc_frac	overall	False	1000.0	100	2	0.02	1.0	0.0	100	CHB, selected from introgression onset (s = 0.01)
chb_from_introgression	gamma_smc_frac	overall	False	4500.0	100	21	0.21	0.4851485148514851	0.01	100	CHB, selected from introgression onset (s = 0.01)
chb_from_introgression	gamma_smc_frac	overall	False	10000.0	100	49	0.49	0.0594059405940594	0.12	100	CHB, selected from introgression onset (s = 0.01)
chb_from_introgression	gamma_smc_frac	overall	False	20000.0	100	48	0.48	0.0594059405940594	0.36	100	CHB, selected from introgression onset (s = 0.01)
chb_from_introgression	gamma_smc_frac	overall	False	30000.0	100	40	0.4	0.0792079207920792	0.48	100	CHB, selected from introgression onset (s = 0.01)
chb_from_introgression	gamma_smc_frac	overall	False	40000.0	100	40	0.4	0.1039603960396039	0.555	100	CHB, selected from introgression onset (s = 0.01)
chb_from_introgression	gamma_smc_frac	overall	False	50000.0	100	36	0.36	0.1287128712871287	0.585	100	CHB, selected from introgression onset (s = 0.01)
chb_from_introgression	gamma_smc_frac	overall	True	1000.0	0	0				0	CHB, selected from introgression onset (s = 0.01)
chb_from_introgression	gamma_smc_frac	overall	True	4500.0	0	0				0	CHB, selected from introgression onset (s = 0.01)
chb_from_introgression	gamma_smc_frac	overall	True	10000.0	0	0				0	CHB, selected from introgression onset (s = 0.01)
chb_from_introgression	gamma_smc_frac	overall	True	20000.0	0	0				0	CHB, selected from introgression onset (s = 0.01)
chb_from_introgression	gamma_smc_frac	overall	True	30000.0	0	0				0	CHB, selected from introgression onset (s = 0.01)
chb_from_introgression	gamma_smc_frac	overall	True	40000.0	0	0				0	CHB, selected from introgression onset (s = 0.01)
chb_from_introgression	gamma_smc_frac	overall	True	50000.0	0	0				0	CHB, selected from introgression onset (s = 0.01)
chb_from_introgression	gamma_smc_meanp	overall	False	1000.0	100	58	0.58	0.0297029702970297	0.023960000715	100	CHB, selected from introgression onset (s = 0.01)
chb_from_introgression	gamma_smc_meanp	overall	False	4500.0	100	51	0.51	0.0297029702970297	0.1036213839	100	CHB, selected from introgression onset (s = 0.01)
chb_from_introgression	gamma_smc_meanp	overall	False	10000.0	100	49	0.49	0.0841584158415841	0.2027070099	100	CHB, selected from introgression onset (s = 0.01)
chb_from_introgression	gamma_smc_meanp	overall	False	20000.0	100	46	0.46	0.099009900990099	0.3514458918499999	100	CHB, selected from introgression onset (s = 0.01)
chb_from_introgression	gamma_smc_meanp	overall	False	30000.0	100	42	0.42	0.1089108910891089	0.4502488643	100	CHB, selected from introgression onset (s = 0.01)
chb_from_introgression	gamma_smc_meanp	overall	False	40000.0	100	41	0.41	0.1485148514851485	0.5027082199	100	CHB, selected from introgression onset (s = 0.01)
chb_from_introgression	gamma_smc_meanp	overall	False	50000.0	100	37	0.37	0.1485148514851485	0.53378655495	100	CHB, selected from introgression onset (s = 0.01)
chb_from_introgression	gamma_smc_meanp	overall	True	1000.0	0	0				0	CHB, selected from introgression onset (s = 0.01)
chb_from_introgression	gamma_smc_meanp	overall	True	4500.0	0	0				0	CHB, selected from introgression onset (s = 0.01)
chb_from_introgression	gamma_smc_meanp	overall	True	10000.0	0	0				0	CHB, selected from introgression onset (s = 0.01)
chb_from_introgression	gamma_smc_meanp	overall	True	20000.0	0	0				0	CHB, selected from introgression onset (s = 0.01)
chb_from_introgression	gamma_smc_meanp	overall	True	30000.0	0	0				0	CHB, selected from introgression onset (s = 0.01)
chb_from_introgression	gamma_smc_meanp	overall	True	40000.0	0	0				0	CHB, selected from introgression onset (s = 0.01)
chb_from_introgression	gamma_smc_meanp	overall	True	50000.0	0	0				0	CHB, selected from introgression onset (s = 0.01)
chb_from_introgression	tree_truth	any_carrier	False	1000.0	0	0				0	CHB, selected from introgression onset (s = 0.01)
chb_from_introgression	tree_truth	any_carrier	False	4500.0	0	0				0	CHB, selected from introgression onset (s = 0.01)
chb_from_introgression	tree_truth	any_carrier	False	10000.0	0	0				0	CHB, selected from introgression onset (s = 0.01)
chb_from_introgression	tree_truth	any_carrier	False	20000.0	0	0				0	CHB, selected from introgression onset (s = 0.01)
chb_from_introgression	tree_truth	any_carrier	False	30000.0	0	0				0	CHB, selected from introgression onset (s = 0.01)
chb_from_introgression	tree_truth	any_carrier	False	40000.0	0	0				0	CHB, selected from introgression onset (s = 0.01)
chb_from_introgression	tree_truth	any_carrier	False	50000.0	0	0				0	CHB, selected from introgression onset (s = 0.01)
chb_from_introgression	tree_truth	any_carrier	True	1000.0	0	0				0	CHB, selected from introgression onset (s = 0.01)
chb_from_introgression	tree_truth	any_carrier	True	4500.0	0	0				0	CHB, selected from introgression onset (s = 0.01)
chb_from_introgression	tree_truth	any_carrier	True	10000.0	0	0				0	CHB, selected from introgression onset (s = 0.01)
chb_from_introgression	tree_truth	any_carrier	True	20000.0	0	0				0	CHB, selected from introgression onset (s = 0.01)
chb_from_introgression	tree_truth	any_carrier	True	30000.0	0	0				0	CHB, selected from introgression onset (s = 0.01)
chb_from_introgression	tree_truth	any_carrier	True	40000.0	0	0				0	CHB, selected from introgression onset (s = 0.01)
chb_from_introgression	tree_truth	any_carrier	True	50000.0	0	0				0	CHB, selected from introgression onset (s = 0.01)
chb_from_introgression	tree_truth	het	False	1000.0	0	0				0	CHB, selected from introgression onset (s = 0.01)
chb_from_introgression	tree_truth	het	False	4500.0	0	0				0	CHB, selected from introgression onset (s = 0.01)
chb_from_introgression	tree_truth	het	False	10000.0	0	0				0	CHB, selected from introgression onset (s = 0.01)
chb_from_introgression	tree_truth	het	False	20000.0	0	0				0	CHB, selected from introgression onset (s = 0.01)
chb_from_introgression	tree_truth	het	False	30000.0	0	0				0	CHB, selected from introgression onset (s = 0.01)
chb_from_introgression	tree_truth	het	False	40000.0	0	0				0	CHB, selected from introgression onset (s = 0.01)
chb_from_introgression	tree_truth	het	False	50000.0	0	0				0	CHB, selected from introgression onset (s = 0.01)
chb_from_introgression	tree_truth	het	True	1000.0	0	0				0	CHB, selected from introgression onset (s = 0.01)
chb_from_introgression	tree_truth	het	True	4500.0	0	0				0	CHB, selected from introgression onset (s = 0.01)
chb_from_introgression	tree_truth	het	True	10000.0	0	0				0	CHB, selected from introgression onset (s = 0.01)
chb_from_introgression	tree_truth	het	True	20000.0	0	0				0	CHB, selected from introgression onset (s = 0.01)
chb_from_introgression	tree_truth	het	True	30000.0	0	0				0	CHB, selected from introgression onset (s = 0.01)
chb_from_introgression	tree_truth	het	True	40000.0	0	0				0	CHB, selected from introgression onset (s = 0.01)
chb_from_introgression	tree_truth	het	True	50000.0	0	0				0	CHB, selected from introgression onset (s = 0.01)
