selection_coefficient	n_replicates	median_realized_allele_frequency	range_realized_allele_frequency_min	range_realized_allele_frequency_max	fraction_lost	fraction_segregating	fraction_fixed	spearman_frequency_vs_center_recent	spearman_p	center_fraction_recent_mean	center_fraction_recent_median_p	center_fraction_recent_power_p_le_0_05	center_fraction_recent_auc	window_10000_fraction_recent_mean	window_10000_fraction_recent_median_p	window_10000_fraction_recent_power_p_le_0_05	window_10000_fraction_recent_auc	window_100000_fraction_recent_mean	window_100000_fraction_recent_median_p	window_100000_fraction_recent_power_p_le_0_05	window_100000_fraction_recent_auc
0.001	100	0.0	0.0	0.01515	0.98	0.02	0.0	0.11931424869015508	0.23705860639837603	0.008635	0.6435643564356436	0.02	0.4183	0.008643636363636324	0.6336633663366337	0.07	0.4197	0.008637475247524699	0.6485148514851485	0.05	0.42375
0.01	100	0.0	0.0	0.02545	0.97	0.03	0.0	-0.17245283942409756	0.08621213121745086	0.009224999999999997	0.5247524752475248	0.01	0.51135	0.009226363636363583	0.4851485148514851	0.04	0.51115	0.00924237623762371	0.4653465346534653	0.09	0.5147
