demography_id	target_allele_frequency	statistic_scope	metric	statistic	threshold_years	n_neutral	n_folds	fold_sizes	minimum_training_null	maximum_training_null	mean_crossfit_p	fraction_crossfit_p_le_0_05	ks_uniform_p	calibration_note
ancient_eurasia_han_introgression	0.1	focal_nearest	mean_tmrca_generations	tmrca_hom_ref_minus_hom_alt	0	100	5	"{""0"": 20, ""1"": 20, ""2"": 20, ""3"": 20, ""4"": 20}"	80	80	0.506172839506	0.05	0.997293758635	primary held-out diagnostic; deterministic folds are shared across estimands and finite-null p-values are discrete
ancient_eurasia_han_introgression	0.1	focal_nearest	normalized_cdf_area	cdf_area_heterozygous	0	100	5	"{""0"": 20, ""1"": 20, ""2"": 20, ""3"": 20, ""4"": 20}"	80	80	0.506172839506	0.06	0.999330811836	primary held-out diagnostic; deterministic folds are shared across estimands and finite-null p-values are discrete
ancient_eurasia_han_introgression	0.1	focal_nearest	normalized_cdf_area	cdf_area_hom_alt	0	100	5	"{""0"": 20, ""1"": 20, ""2"": 20, ""3"": 20, ""4"": 20}"	80	80	0.506172839506	0.05	0.97960876349	primary held-out diagnostic; deterministic folds are shared across estimands and finite-null p-values are discrete
ancient_eurasia_han_introgression	0.1	focal_nearest	normalized_cdf_area	cdf_area_hom_alt_minus_hom_ref	0	100	5	"{""0"": 20, ""1"": 20, ""2"": 20, ""3"": 20, ""4"": 20}"	80	80	0.506172839506	0.05	0.964374178567	primary held-out diagnostic; deterministic folds are shared across estimands and finite-null p-values are discrete
ancient_eurasia_han_introgression	0.1	focal_nearest	normalized_cdf_area	cdf_area_hom_ref	0	100	5	"{""0"": 20, ""1"": 20, ""2"": 20, ""3"": 20, ""4"": 20}"	80	80	0.506172839506	0.06	0.999911610075	primary held-out diagnostic; deterministic folds are shared across estimands and finite-null p-values are discrete
ancient_eurasia_han_introgression	0.1	focal_nearest	normalized_cdf_area	cdf_area_overall	0	100	5	"{""0"": 20, ""1"": 20, ""2"": 20, ""3"": 20, ""4"": 20}"	80	80	0.506172839506	0.06	0.998047513259	primary held-out diagnostic; deterministic folds are shared across estimands and finite-null p-values are discrete
ancient_eurasia_han_introgression	0.1	focal_nearest	p_tmrca_lt_threshold	p_heterozygous	1000	100	5	"{""0"": 20, ""1"": 20, ""2"": 20, ""3"": 20, ""4"": 20}"	80	80	0.506172839506	0.04	0.99813997511	primary held-out diagnostic; deterministic folds are shared across estimands and finite-null p-values are discrete
ancient_eurasia_han_introgression	0.1	focal_nearest	p_tmrca_lt_threshold	p_heterozygous	4500	100	5	"{""0"": 20, ""1"": 20, ""2"": 20, ""3"": 20, ""4"": 20}"	80	80	0.506172839506	0.04	0.999106746441	primary held-out diagnostic; deterministic folds are shared across estimands and finite-null p-values are discrete
ancient_eurasia_han_introgression	0.1	focal_nearest	p_tmrca_lt_threshold	p_heterozygous	10000	100	5	"{""0"": 20, ""1"": 20, ""2"": 20, ""3"": 20, ""4"": 20}"	80	80	0.506172839506	0.04	0.997640602287	primary held-out diagnostic; deterministic folds are shared across estimands and finite-null p-values are discrete
ancient_eurasia_han_introgression	0.1	focal_nearest	p_tmrca_lt_threshold	p_heterozygous	20000	100	5	"{""0"": 20, ""1"": 20, ""2"": 20, ""3"": 20, ""4"": 20}"	80	80	0.506172839506	0.04	0.99813997511	primary held-out diagnostic; deterministic folds are shared across estimands and finite-null p-values are discrete
ancient_eurasia_han_introgression	0.1	focal_nearest	p_tmrca_lt_threshold	p_heterozygous	30000	100	5	"{""0"": 20, ""1"": 20, ""2"": 20, ""3"": 20, ""4"": 20}"	80	80	0.506172839506	0.04	0.99813997511	primary held-out diagnostic; deterministic folds are shared across estimands and finite-null p-values are discrete
ancient_eurasia_han_introgression	0.1	focal_nearest	p_tmrca_lt_threshold	p_heterozygous	40000	100	5	"{""0"": 20, ""1"": 20, ""2"": 20, ""3"": 20, ""4"": 20}"	80	80	0.506172839506	0.05	0.999808466704	primary held-out diagnostic; deterministic folds are shared across estimands and finite-null p-values are discrete
ancient_eurasia_han_introgression	0.1	focal_nearest	p_tmrca_lt_threshold	p_heterozygous	50000	100	5	"{""0"": 20, ""1"": 20, ""2"": 20, ""3"": 20, ""4"": 20}"	80	80	0.506172839506	0.05	0.999330811836	primary held-out diagnostic; deterministic folds are shared across estimands and finite-null p-values are discrete
ancient_eurasia_han_introgression	0.1	focal_nearest	p_tmrca_lt_threshold	p_hom_alt	1000	100	5	"{""0"": 20, ""1"": 20, ""2"": 20, ""3"": 20, ""4"": 20}"	80	80	0.506172839506	0.04	0.994514586913	primary held-out diagnostic; deterministic folds are shared across estimands and finite-null p-values are discrete
ancient_eurasia_han_introgression	0.1	focal_nearest	p_tmrca_lt_threshold	p_hom_alt	4500	100	5	"{""0"": 20, ""1"": 20, ""2"": 20, ""3"": 20, ""4"": 20}"	80	80	0.506172839506	0.05	0.998551434522	primary held-out diagnostic; deterministic folds are shared across estimands and finite-null p-values are discrete
ancient_eurasia_han_introgression	0.1	focal_nearest	p_tmrca_lt_threshold	p_hom_alt	10000	100	5	"{""0"": 20, ""1"": 20, ""2"": 20, ""3"": 20, ""4"": 20}"	80	80	0.506172839506	0.04	0.996481153002	primary held-out diagnostic; deterministic folds are shared across estimands and finite-null p-values are discrete
ancient_eurasia_han_introgression	0.1	focal_nearest	p_tmrca_lt_threshold	p_hom_alt	20000	100	5	"{""0"": 20, ""1"": 20, ""2"": 20, ""3"": 20, ""4"": 20}"	80	80	0.506172839506	0.04	0.979060517923	primary held-out diagnostic; deterministic folds are shared across estimands and finite-null p-values are discrete
ancient_eurasia_han_introgression	0.1	focal_nearest	p_tmrca_lt_threshold	p_hom_alt	30000	100	5	"{""0"": 20, ""1"": 20, ""2"": 20, ""3"": 20, ""4"": 20}"	80	80	0.506172839506	0.04	0.912443350693	primary held-out diagnostic; deterministic folds are shared across estimands and finite-null p-values are discrete
ancient_eurasia_han_introgression	0.1	focal_nearest	p_tmrca_lt_threshold	p_hom_alt	40000	100	5	"{""0"": 20, ""1"": 20, ""2"": 20, ""3"": 20, ""4"": 20}"	80	80	0.506172839506	0.04	0.99813997511	primary held-out diagnostic; deterministic folds are shared across estimands and finite-null p-values are discrete
ancient_eurasia_han_introgression	0.1	focal_nearest	p_tmrca_lt_threshold	p_hom_alt	50000	100	5	"{""0"": 20, ""1"": 20, ""2"": 20, ""3"": 20, ""4"": 20}"	80	80	0.506172839506	0.04	0.999001532169	primary held-out diagnostic; deterministic folds are shared across estimands and finite-null p-values are discrete
ancient_eurasia_han_introgression	0.1	focal_nearest	p_tmrca_lt_threshold	p_hom_alt_minus_hom_ref	1000	100	5	"{""0"": 20, ""1"": 20, ""2"": 20, ""3"": 20, ""4"": 20}"	80	80	0.506172839506	0.05	0.994514586913	primary held-out diagnostic; deterministic folds are shared across estimands and finite-null p-values are discrete
ancient_eurasia_han_introgression	0.1	focal_nearest	p_tmrca_lt_threshold	p_hom_alt_minus_hom_ref	4500	100	5	"{""0"": 20, ""1"": 20, ""2"": 20, ""3"": 20, ""4"": 20}"	80	80	0.506172839506	0.05	0.999794046027	primary held-out diagnostic; deterministic folds are shared across estimands and finite-null p-values are discrete
ancient_eurasia_han_introgression	0.1	focal_nearest	p_tmrca_lt_threshold	p_hom_alt_minus_hom_ref	10000	100	5	"{""0"": 20, ""1"": 20, ""2"": 20, ""3"": 20, ""4"": 20}"	80	80	0.506172839506	0.04	0.99813997511	primary held-out diagnostic; deterministic folds are shared across estimands and finite-null p-values are discrete
ancient_eurasia_han_introgression	0.1	focal_nearest	p_tmrca_lt_threshold	p_hom_alt_minus_hom_ref	20000	100	5	"{""0"": 20, ""1"": 20, ""2"": 20, ""3"": 20, ""4"": 20}"	80	80	0.506172839506	0.05	0.977934061323	primary held-out diagnostic; deterministic folds are shared across estimands and finite-null p-values are discrete
ancient_eurasia_han_introgression	0.1	focal_nearest	p_tmrca_lt_threshold	p_hom_alt_minus_hom_ref	30000	100	5	"{""0"": 20, ""1"": 20, ""2"": 20, ""3"": 20, ""4"": 20}"	80	80	0.506172839506	0.05	0.977934061323	primary held-out diagnostic; deterministic folds are shared across estimands and finite-null p-values are discrete
