demography_id	target_allele_frequency	statistic_scope	metric	statistic	threshold_years	selection_coefficient	n_selected	n_neutral	mean_selected_score	mean_neutral_score	mean_selected_minus_neutral	mean_difference_ci95_low	mean_difference_ci95_high	roc_auc	roc_auc_ci95_low	roc_auc_ci95_high	bootstrap_draws	bootstrap_seed	difference_bootstrap_seed	mann_whitney_u	mann_whitney_p_upper	mean_unit_label_permutation_p_upper	auc_unit_label_permutation_p_upper	unit_label_permutation_draws	unit_label_permutation_seed	mean_unit_label_permutation_exceedances	auc_unit_label_permutation_exceedances	unit_label_permutation_method	unit_label_permutation_family	neutral_bank_scope	mann_whitney_bh_q_upper	mann_whitney_global_bh_q_upper	mean_unit_label_permutation_bh_q_upper	mean_unit_label_permutation_global_bh_q_upper	auc_unit_label_permutation_bh_q_upper	auc_unit_label_permutation_global_bh_q_upper
ancient_eurasia_han_introgression	0.1	focal_nearest	mean_tmrca_generations	tmrca_hom_ref_minus_hom_alt	0	0.005	10	100	17488.6100474	18593.9538054	-1105.34375798	-5914.25396101	3280.9207021	0.436	0.251	0.628	2000	4163669899	4105327446	436	0.748774755336	0.6712	0.7464	9999	291340262	6711	7463	seeded_monte_carlo_preserve_group_sizes_plus_one	same unit-label draws reused across estimands within cell and s	shared_by_demography_and_af_across_selection_coefficients	0.748774755336	0.898529706403	0.6712	0.83976	0.7464	0.89568
ancient_eurasia_han_introgression	0.1	focal_nearest	mean_tmrca_generations	tmrca_hom_ref_minus_hom_alt	0	0.01	10	100	17715.2132601	18593.9538054	-878.740545283	-5873.84961259	3978.63529874	0.464	0.28	0.654	2000	2233190413	3540530053	464	0.647845012438	0.6386	0.6441	9999	271718307	6385	6440	seeded_monte_carlo_preserve_group_sizes_plus_one	same unit-label draws reused across estimands within cell and s	shared_by_demography_and_af_across_selection_coefficients	0.647845012438	0.898529706403	0.6386	0.83976	0.6441	0.89568
ancient_eurasia_han_introgression	0.1	focal_nearest	normalized_cdf_area	cdf_area_heterozygous	0	0.005	10	100	5.08232792629e-05	0.000456714399272	-0.000405891120009	-0.00120694946861	8.16361513589e-05	0.499	0.343	0.667025	2000	2669727909	2798347985	499	0.506221754238	0.2955	0.5091	9999	291340262	2954	5090	seeded_monte_carlo_preserve_group_sizes_plus_one	same unit-label draws reused across estimands within cell and s	shared_by_demography_and_af_across_selection_coefficients	0.506221754238	0.759332631356	0.2955	0.6796	0.5091	0.76365
ancient_eurasia_han_introgression	0.1	focal_nearest	normalized_cdf_area	cdf_area_heterozygous	0	0.01	10	100	3.84544656787e-16	0.000456714399272	-0.000456714399272	-0.00131015346093	-2.41623095691e-06	0.455	0.297	0.61505	2000	3445925286	3475559120	455	0.681924256415	1	0.6838	9999	271718307	9999	6837	seeded_monte_carlo_preserve_group_sizes_plus_one	same unit-label draws reused across estimands within cell and s	shared_by_demography_and_af_across_selection_coefficients	0.681924256415	0.805891377975	1	1	0.6838	0.802036363636
ancient_eurasia_han_introgression	0.1	focal_nearest	normalized_cdf_area	cdf_area_hom_alt	0	0.005	10	100	0.411908552858	0.504580589737	-0.0926720368788	-0.235997135393	0.0564542566189	0.391	0.23	0.557025	2000	1821582813	1314235288	391	0.872549709826	0.8568	0.8672	9999	291340262	8567	8671	seeded_monte_carlo_preserve_group_sizes_plus_one	same unit-label draws reused across estimands within cell and s	shared_by_demography_and_af_across_selection_coefficients	0.872549709826	0.999399879364	0.8568	0.9993	0.8672	0.9998
ancient_eurasia_han_introgression	0.1	focal_nearest	normalized_cdf_area	cdf_area_hom_alt	0	0.01	10	100	0.485477751018	0.504580589737	-0.0191028387188	-0.170355524781	0.11983458604	0.502	0.332975	0.661025	2000	1776236238	2946036043	502	0.493778245762	0.5879	0.4944	9999	271718307	5878	4943	seeded_monte_carlo_preserve_group_sizes_plus_one	same unit-label draws reused across estimands within cell and s	shared_by_demography_and_af_across_selection_coefficients	0.493778245762	0.815201520366	0.5879	0.88185	0.4944	0.8112
ancient_eurasia_han_introgression	0.1	focal_nearest	normalized_cdf_area	cdf_area_hom_alt_minus_hom_ref	0	0.005	10	100	0.322309596206	0.407411912578	-0.0851023163721	-0.226841044412	0.0500674165067	0.415	0.256	0.594	2000	1135814994	4194604497	415	0.812994877765	0.8314	0.8056	9999	291340262	8313	8055	seeded_monte_carlo_preserve_group_sizes_plus_one	same unit-label draws reused across estimands within cell and s	shared_by_demography_and_af_across_selection_coefficients	0.812994877765	0.965571594352	0.8314	0.911127272727	0.8056	0.962945454545
ancient_eurasia_han_introgression	0.1	focal_nearest	normalized_cdf_area	cdf_area_hom_alt_minus_hom_ref	0	0.01	10	100	0.394210248271	0.407411912578	-0.013201664307	-0.188449596077	0.143312993502	0.514	0.327	0.69	2000	115520992	1541483966	514	0.444185285085	0.5576	0.4416	9999	271718307	5575	4415	seeded_monte_carlo_preserve_group_sizes_plus_one	same unit-label draws reused across estimands within cell and s	shared_by_demography_and_af_across_selection_coefficients	0.444185285085	0.761460488717	0.5576	0.856133333333	0.4416	0.757028571429
ancient_eurasia_han_introgression	0.1	focal_nearest	normalized_cdf_area	cdf_area_hom_ref	0	0.005	10	100	0.0895989566523	0.097168677159	-0.00756972050672	-0.0263181482394	0.0121680982742	0.454	0.282975	0.623075	2000	1446467339	3565389243	454	0.685623933265	0.7192	0.6804	9999	291340262	7191	6803	seeded_monte_carlo_preserve_group_sizes_plus_one	same unit-label draws reused across estimands within cell and s	shared_by_demography_and_af_across_selection_coefficients	0.685623933265	0.992405005408	0.7192	0.9932	0.6804	0.9934
ancient_eurasia_han_introgression	0.1	focal_nearest	normalized_cdf_area	cdf_area_hom_ref	0	0.01	10	100	0.0912675027471	0.097168677159	-0.00590117441182	-0.0350719910214	0.0282937707263	0.424	0.206925	0.656025	2000	2548145330	282618258	424	0.786812223086	0.6615	0.7855	9999	271718307	6614	7854	seeded_monte_carlo_preserve_group_sizes_plus_one	same unit-label draws reused across estimands within cell and s	shared_by_demography_and_af_across_selection_coefficients	0.786812223086	0.992405005408	0.6615	0.9932	0.7855	0.9934
ancient_eurasia_han_introgression	0.1	focal_nearest	normalized_cdf_area	cdf_area_overall	0	0.005	10	100	0.0818795411724	0.0909937439166	-0.00911420274419	-0.0260525658226	0.00830118828026	0.431	0.258975	0.602	2000	3372049980	1553306404	431	0.765045336358	0.8022	0.7627	9999	291340262	8021	7626	seeded_monte_carlo_preserve_group_sizes_plus_one	same unit-label draws reused across estimands within cell and s	shared_by_demography_and_af_across_selection_coefficients	0.765045336358	0.993616482091	0.8022	0.9982	0.7627	0.9951
