demography_id	target_allele_frequency	selection_coefficient	statistic_scope	metric	statistic	threshold_years	n_selected	mean_within_selection_score	median_within_selection_score	sd_within_selection_score	mean_ci95_low	mean_ci95_high	n_nonzero	n_positive	sign_test_p_upper	bootstrap_draws	bootstrap_seed	sign_test_bh_q_upper
ancient_eurasia_han_introgression	0.1	0.01	focal_nearest	p_tmrca_lt_threshold	p_hom_alt_minus_hom_ref	1000	10	0.107043100575	0.0510368275577	0.125040815229	0.0397559679866	0.183110533063	10	8	0.0546875	2000	4251482140	0.0546875
ancient_eurasia_han_introgression	0.1	0.01	focal_nearest	p_tmrca_lt_threshold	p_hom_alt_minus_hom_ref	4500	10	0.240549750965	0.22820390286	0.228615156785	0.097807253614	0.369838063865	10	8	0.0546875	2000	3899177492	0.0546875
ancient_eurasia_han_introgression	0.1	0.01	focal_nearest	p_tmrca_lt_threshold	p_hom_alt_minus_hom_ref	10000	10	0.305672507324	0.349667070497	0.251184576592	0.16079475765	0.453127503198	10	9	0.0107421875	2000	2140819695	0.0150390625
ancient_eurasia_han_introgression	0.1	0.01	focal_nearest	p_tmrca_lt_threshold	p_hom_alt_minus_hom_ref	20000	10	0.392495641946	0.424209913825	0.27438872542	0.23495603651	0.548176275741	10	9	0.0107421875	2000	1355806702	0.0150390625
ancient_eurasia_han_introgression	0.1	0.01	focal_nearest	p_tmrca_lt_threshold	p_hom_alt_minus_hom_ref	30000	10	0.454179051621	0.523743147922	0.298932266112	0.267423569726	0.606004148058	10	9	0.0107421875	2000	2047123195	0.0150390625
ancient_eurasia_han_introgression	0.1	0.01	focal_nearest	p_tmrca_lt_threshold	p_hom_alt_minus_hom_ref	40000	10	0.494619756105	0.560769408567	0.317207523657	0.300647400757	0.66609583715	10	9	0.0107421875	2000	2310590192	0.0150390625
ancient_eurasia_han_introgression	0.1	0.01	focal_nearest	p_tmrca_lt_threshold	p_hom_alt_minus_hom_ref	50000	10	0.521057025887	0.586971792649	0.327088155946	0.30765144706	0.699859968874	10	9	0.0107421875	2000	532378923	0.0150390625
ancient_eurasia_han_introgression	0.1	0.01	region_mean	mean_tmrca_generations	tmrca_hom_ref_minus_hom_alt	0	10	872.97601817	787.17293695	1479.57158024	16.9236371035	1732.70978782	10	7	0.171875	2000	2767956695	0.171875
ancient_eurasia_han_introgression	0.1	0.01	region_mean	normalized_cdf_area	cdf_area_hom_alt_minus_hom_ref	0	10	0.0252128818714	0.00384284723331	0.0465507937455	-0.000691170889719	0.0530562025272	10	6	0.376953125	2000	2176613377	0.376953125
ancient_eurasia_han_introgression	0.1	0.01	region_mean	p_tmrca_lt_threshold	p_hom_alt_minus_hom_ref	1000	10	0.0118565668574	0.00120104748811	0.0218677688873	0.000295152315616	0.0258593170778	10	6	0.376953125	2000	3042083042	0.376953125
