# Gamma-SMC explicit haplotype pairs
# genotype_class	heterozygous
# n_pairs	17
6	7
8	9
12	13
58	59
84	85
100	101
112	113
114	115
134	135
140	141
146	147
156	157
158	159
164	165
170	171
190	191
194	195
