unit_id	status	error	final_population_af
neutral_0000	complete		0.522619047619
neutral_0001	complete		0.0615079365079
neutral_0002	complete		0.230555555556
neutral_0003	complete		0.0170634920635
neutral_0004	complete		0.171031746032
neutral_0005	complete		0.180555555556
neutral_0006	complete		0.136111111111
neutral_0007	complete		0.10119047619
neutral_0008	complete		0.114285714286
neutral_0009	complete		0.0365079365079
neutral_0010	complete		0.018253968254
neutral_0011	complete		0.443253968254
neutral_0012	complete		0.33373015873
neutral_0013	complete		0.0686507936508
neutral_0014	complete		0.0123015873016
neutral_0015	complete		0.0261904761905
neutral_0016	complete		0.220238095238
neutral_0017	complete		0.360317460317
neutral_0018	complete		0.109523809524
neutral_0019	complete		0.17619047619
neutral_0020	complete		0.0234126984127
neutral_0021	complete		0.00833333333333
neutral_0022	complete		0.248015873016
neutral_0023	complete		0.115476190476
neutral_0024	complete		0.00555555555556
neutral_0025	complete		0.0583333333333
neutral_0026	complete		0.301587301587
neutral_0027	complete		0.137698412698
neutral_0028	complete		0.123412698413
neutral_0029	complete		0.267063492063
neutral_0030	complete		0.0214285714286
neutral_0031	complete		0.10873015873
neutral_0032	complete		0.0674603174603
neutral_0033	complete		0.205952380952
neutral_0034	complete		0.0623015873016
neutral_0035	complete		0.171825396825
neutral_0036	complete		0.0107142857143
neutral_0037	complete		0.119047619048
neutral_0038	complete		0.027380952381
neutral_0039	complete		0.0543650793651
neutral_0040	complete		0.116666666667
neutral_0041	complete		0.0031746031746
neutral_0042	complete		0.25119047619
neutral_0043	complete		0.214285714286
neutral_0044	complete		0.0412698412698
neutral_0045	complete		0.0753968253968
neutral_0046	complete		0.0492063492063
neutral_0047	complete		0.00515873015873
neutral_0048	complete		0.44126984127
neutral_0049	complete		0.242063492063
neutral_0050	complete		0.121825396825
neutral_0051	complete		0.0599206349206
neutral_0052	complete		0.0134920634921
neutral_0053	complete		0.0452380952381
neutral_0054	complete		0.0496031746032
neutral_0055	complete		0.00992063492063
neutral_0056	complete		0.161111111111
neutral_0057	complete		0.140476190476
neutral_0058	complete		0.0686507936508
neutral_0059	complete		0.0265873015873
neutral_0060	complete		0.0349206349206
