threshold_years	genotype_class	window_bp	af_bin	n	mean_statistic	null_mean	null_sd	auc	power
10000.0	carrier_carrier	10000	[0.0, 0.15)	35	0.17411028811816467	0.007359	0.0012244249213242378	1.0	1.0
10000.0	carrier_carrier	10000	[0.15, 0.25)	55	0.08457500274051441	0.007359	0.0012244249213242378	1.0	1.0
10000.0	carrier_carrier	10000	[0.25, 0.45)	121	0.07066360374712073	0.007359	0.0012244249213242378	0.9999724517906337	1.0
10000.0	carrier_carrier	10000	[0.45, 0.6)	109	0.11851356905290203	0.007359	0.0012244249213242378	0.9948929663608562	0.963302752293578
10000.0	carrier_carrier	10000	[0.6, 1.01)	453	0.17480918645812168	0.007359	0.0012244249213242378	0.8907358351729212	0.46578366445916114
10000.0	carrier_carrier	100000	[0.0, 0.15)	35	0.15350272383106003	0.007365121212121212	0.001140155182290741	1.0	1.0
10000.0	carrier_carrier	100000	[0.15, 0.25)	55	0.07556450733049346	0.007365121212121212	0.001140155182290741	1.0	1.0
10000.0	carrier_carrier	100000	[0.25, 0.45)	121	0.062131322437691004	0.007365121212121212	0.001140155182290741	0.9999724517906337	1.0
10000.0	carrier_carrier	100000	[0.45, 0.6)	109	0.10553108659282555	0.007365121212121212	0.001140155182290741	0.9940061162079511	0.9357798165137615
10000.0	carrier_carrier	100000	[0.6, 1.01)	453	0.15241452610535322	0.007365121212121212	0.001140155182290741	0.8856585724797646	0.4216335540838852
10000.0	carrier_carrier	500000	[0.0, 0.15)	35	0.1072872864998447	0.007424699346405229	0.0009870778933326503	0.999904761904762	1.0
10000.0	carrier_carrier	500000	[0.15, 0.25)	55	0.0538058653746376	0.007424699346405229	0.0009870778933326503	1.0	1.0
10000.0	carrier_carrier	500000	[0.25, 0.45)	121	0.04161758446082826	0.007424699346405229	0.0009870778933326503	0.9997520661157024	0.9917355371900827
10000.0	carrier_carrier	500000	[0.45, 0.6)	109	0.07333679039817055	0.007424699346405229	0.0009870778933326503	0.9940366972477064	0.926605504587156
10000.0	carrier_carrier	500000	[0.6, 1.01)	453	0.10119745491366934	0.007424699346405229	0.0009870778933326503	0.8650110375275939	0.3973509933774834
10000.0	carrier_carrier	1000000	[0.0, 0.15)	35	0.07265848200460497	0.007450389438943894	0.0008185157416659746	0.9714285714285714	0.9714285714285714
10000.0	carrier_carrier	1000000	[0.15, 0.25)	55	0.03904477827076228	0.007450389438943894	0.0008185157416659746	1.0	1.0
10000.0	carrier_carrier	1000000	[0.25, 0.45)	121	0.03072253261985666	0.007450389438943894	0.0008185157416659746	0.9989807162534435	0.9669421487603306
10000.0	carrier_carrier	1000000	[0.45, 0.6)	109	0.05046986355166729	0.007450389438943894	0.0008185157416659746	0.9938532110091745	0.8807339449541285
10000.0	carrier_carrier	1000000	[0.6, 1.01)	453	0.06932309731040771	0.007450389438943894	0.0008185157416659746	0.8412877115526122	0.3576158940397351
10000.0	carrier_carrier	2000000	[0.0, 0.15)	35	0.045690298268026126	0.007481840796019901	0.0006287068940701565	0.9714285714285714	0.9714285714285714
10000.0	carrier_carrier	2000000	[0.15, 0.25)	55	0.026732064697463243	0.007481840796019901	0.0006287068940701565	0.9998181818181818	0.9818181818181818
10000.0	carrier_carrier	2000000	[0.25, 0.45)	121	0.020987843282914972	0.007481840796019901	0.0006287068940701565	0.9907988980716252	0.9421487603305785
10000.0	carrier_carrier	2000000	[0.45, 0.6)	109	0.031728074988897015	0.007481840796019901	0.0006287068940701565	0.9838532110091744	0.8623853211009175
10000.0	carrier_carrier	2000000	[0.6, 1.01)	453	0.042392654278659264	0.007481840796019901	0.0006287068940701565	0.810309050772627	0.3818984547461369
10000.0	carrier_carrier	4000000	[0.0, 0.15)	35	0.028830590061310276	0.00749637323358271	0.0005055001926626929	0.9672380952380952	0.9428571428571428
10000.0	carrier_carrier	4000000	[0.15, 0.25)	55	0.018263942288464702	0.00749637323358271	0.0005055001926626929	0.9801212121212121	0.9636363636363636
10000.0	carrier_carrier	4000000	[0.25, 0.45)	121	0.014987829683412918	0.00749637323358271	0.0005055001926626929	0.9694214876033059	0.8842975206611571
10000.0	carrier_carrier	4000000	[0.45, 0.6)	109	0.020170891034765288	0.00749637323358271	0.0005055001926626929	0.9509785932721713	0.6880733944954128
10000.0	carrier_carrier	4000000	[0.6, 1.01)	453	0.025584156178990004	0.00749637323358271	0.0005055001926626929	0.7683296541574688	0.27593818984547464
10000.0	overall	10000	[0.0, 0.15)	162	0.007871604938271604	0.007359	0.0012244249213242378	0.5785390946502057	0.012345679012345678
10000.0	overall	10000	[0.15, 0.25)	55	0.008783636363636363	0.007359	0.0012244249213242378	0.6242424242424243	0.01818181818181818
10000.0	overall	10000	[0.25, 0.45)	121	0.012392561983471074	0.007359	0.0012244249213242378	0.5951790633608816	0.049586776859504134
10000.0	overall	10000	[0.45, 0.6)	109	0.038065137614678904	0.007359	0.0012244249213242378	0.6869877675840979	0.11009174311926606
10000.0	overall	10000	[0.6, 1.01)	453	0.12999889624724062	0.007359	0.0012244249213242378	0.6815084621044887	0.19205298013245034
10000.0	overall	100000	[0.0, 0.15)	162	0.007798540965207632	0.007365121212121212	0.001140155182290741	0.5695987654320988	0.012345679012345678
10000.0	overall	100000	[0.15, 0.25)	55	0.008682479338842976	0.007365121212121212	0.001140155182290741	0.6196666666666666	0.01818181818181818
10000.0	overall	100000	[0.25, 0.45)	121	0.011752366641622838	0.007365121212121212	0.001140155182290741	0.5987878787878788	0.04132231404958678
10000.0	overall	100000	[0.45, 0.6)	109	0.03472201834862386	0.007365121212121212	0.001140155182290741	0.6879204892966361	0.11926605504587157
10000.0	overall	100000	[0.6, 1.01)	453	0.1143233594220349	0.007365121212121212	0.001140155182290741	0.6803421633554084	0.18984547461368653
10000.0	overall	500000	[0.0, 0.15)	162	0.007659791817961751	0.007424699346405229	0.0009870778933326503	0.5428292181069959	0.012345679012345678
10000.0	overall	500000	[0.15, 0.25)	55	0.008293333333333333	0.007424699346405229	0.0009870778933326503	0.5805757575757576	0.01818181818181818
10000.0	overall	500000	[0.25, 0.45)	121	0.010309641873278236	0.007424699346405229	0.0009870778933326503	0.599504132231405	0.04132231404958678
10000.0	overall	500000	[0.45, 0.6)	109	0.026522090304011516	0.007424699346405229	0.0009870778933326503	0.6770030581039754	0.11009174311926606
10000.0	overall	500000	[0.6, 1.01)	453	0.0782064666926373	0.007424699346405229	0.0009870778933326503	0.6718248712288447	0.19205298013245034
10000.0	overall	1000000	[0.0, 0.15)	162	0.00756982031536487	0.007450389438943894	0.0008185157416659746	0.518888888888889	0.012345679012345678
10000.0	overall	1000000	[0.15, 0.25)	55	0.007976417641764178	0.007450389438943894	0.0008185157416659746	0.5466363636363637	0.01818181818181818
10000.0	overall	1000000	[0.25, 0.45)	121	0.009516962605351445	0.007450389438943894	0.0008185157416659746	0.5945454545454545	0.04132231404958678
10000.0	overall	1000000	[0.45, 0.6)	109	0.02018051594150241	0.007450389438943894	0.0008185157416659746	0.6461773700305811	0.11009174311926606
10000.0	overall	1000000	[0.6, 1.01)	453	0.05483222739492492	0.007450389438943894	0.0008185157416659746	0.6547534952170714	0.18543046357615894
10000.0	overall	2000000	[0.0, 0.15)	162	0.007533268840980284	0.007481840796019901	0.0006287068940701565	0.4991563786008231	0.012345679012345678
10000.0	overall	2000000	[0.15, 0.25)	55	0.007877946630483945	0.007481840796019901	0.0006287068940701565	0.5694545454545454	0.01818181818181818
10000.0	overall	2000000	[0.25, 0.45)	121	0.008641166070474075	0.007481840796019901	0.0006287068940701565	0.5617079889807163	0.05785123966942149
10000.0	overall	2000000	[0.45, 0.6)	109	0.014777214843215116	0.007481840796019901	0.0006287068940701565	0.6353669724770643	0.12844036697247707
10000.0	overall	2000000	[0.6, 1.01)	453	0.03449488539641748	0.007481840796019901	0.0006287068940701565	0.6316997792494482	0.20309050772626933
10000.0	overall	4000000	[0.0, 0.15)	162	0.007514028201102183	0.00749637323358271	0.0005055001926626929	0.5079835390946502	0.006172839506172839
10000.0	overall	4000000	[0.15, 0.25)	55	0.007737678530945363	0.00749637323358271	0.0005055001926626929	0.5745454545454545	0.01818181818181818
10000.0	overall	4000000	[0.25, 0.45)	121	0.008093157601863112	0.00749637323358271	0.0005055001926626929	0.5377134986225895	0.04132231404958678
10000.0	overall	4000000	[0.45, 0.6)	109	0.011293385801551167	0.00749637323358271	0.0005055001926626929	0.6159327217125382	0.10091743119266056
10000.0	overall	4000000	[0.6, 1.01)	453	0.0215211182859628	0.00749637323358271	0.0005055001926626929	0.6137233259749816	0.18984547461368653
30000.0	carrier_carrier	10000	[0.0, 0.15)	35	0.9150899407235682	0.10093533333333334	0.026108563253066097	1.0	1.0
30000.0	carrier_carrier	10000	[0.15, 0.25)	55	0.7566418332788103	0.10093533333333334	0.026108563253066097	1.0	1.0
30000.0	carrier_carrier	10000	[0.25, 0.45)	121	0.6086266773641736	0.10093533333333334	0.026108563253066097	0.999862258953168	0.9917355371900827
30000.0	carrier_carrier	10000	[0.45, 0.6)	109	0.5074730435661442	0.10093533333333334	0.026108563253066097	0.9990825688073395	0.944954128440367
30000.0	carrier_carrier	10000	[0.6, 1.01)	453	0.38008020630192235	0.10093533333333334	0.026108563253066097	0.9519021339220014	0.5783664459161147
30000.0	carrier_carrier	100000	[0.0, 0.15)	35	0.6989279207707527	0.10005472727272727	0.02273914958674237	1.0	1.0
30000.0	carrier_carrier	100000	[0.15, 0.25)	55	0.5577312147150453	0.10005472727272727	0.02273914958674237	0.9998181818181817	1.0
30000.0	carrier_carrier	100000	[0.25, 0.45)	121	0.45392824314718877	0.10005472727272727	0.02273914958674237	0.9992561983471074	0.9834710743801653
30000.0	carrier_carrier	100000	[0.45, 0.6)	109	0.3939957676581129	0.10005472727272727	0.02273914958674237	0.9968501529051987	0.926605504587156
30000.0	carrier_carrier	100000	[0.6, 1.01)	453	0.3283217438787889	0.10005472727272727	0.02273914958674237	0.9431567328918322	0.5982339955849889
30000.0	carrier_carrier	500000	[0.0, 0.15)	35	0.38710730650768704	0.10060242483660131	0.016865914950110205	1.0	1.0
30000.0	carrier_carrier	500000	[0.15, 0.25)	55	0.29317727779204944	0.10060242483660131	0.016865914950110205	0.9993333333333333	0.9454545454545454
30000.0	carrier_carrier	500000	[0.25, 0.45)	121	0.2499993393040313	0.10060242483660131	0.016865914950110205	0.9924242424242425	0.8264462809917356
30000.0	carrier_carrier	500000	[0.45, 0.6)	109	0.2386383971454431	0.10060242483660131	0.016865914950110205	0.9811009174311927	0.6422018348623854
30000.0	carrier_carrier	500000	[0.6, 1.01)	453	0.23154265428988988	0.10060242483660131	0.016865914950110205	0.9099043414275204	0.38852097130242824
30000.0	carrier_carrier	1000000	[0.0, 0.15)	35	0.2626548921685456	0.1011997788778878	0.01387079239207205	0.9993333333333333	0.9714285714285714
30000.0	carrier_carrier	1000000	[0.15, 0.25)	55	0.20818168762898234	0.1011997788778878	0.01387079239207205	0.996060606060606	0.8909090909090909
30000.0	carrier_carrier	1000000	[0.25, 0.45)	121	0.18457444999827552	0.1011997788778878	0.01387079239207205	0.9798071625344353	0.7603305785123967
30000.0	carrier_carrier	1000000	[0.45, 0.6)	109	0.1826199670481238	0.1011997788778878	0.01387079239207205	0.9533944954128442	0.5504587155963303
30000.0	carrier_carrier	1000000	[0.6, 1.01)	453	0.18279977350704915	0.1011997788778878	0.01387079239207205	0.8636718175128771	0.35320088300220753
