arm	method	genotype_class	threshold_years	quantile	statistic	null_mean	n_neutral_exceeding	p_corrected	significant_rule
denovo_delayed_s0p01	decode_meanp	overall	5000.0	0.75	0.04997793682	0.04503344287813334	82	0.2757475083056478	False
denovo_delayed_s0p01	decode_meanp	overall	5000.0	0.9	0.06385250088500001	0.04503344287813334	35	0.11960132890365449	False
denovo_delayed_s0p01	decode_meanp	overall	10000.0	0.1	0.05696521326	0.08399950186776667	271	0.9036544850498339	False
denovo_delayed_s0p01	decode_meanp	overall	10000.0	0.25	0.0652606934675	0.08399950186776667	215	0.717607973421927	False
denovo_delayed_s0p01	decode_meanp	overall	10000.0	0.5	0.075692034995	0.08399950186776667	159	0.53156146179402	False
denovo_delayed_s0p01	decode_meanp	overall	10000.0	0.75	0.09454862645	0.08399950186776667	75	0.25249169435215946	False
denovo_delayed_s0p01	decode_meanp	overall	10000.0	0.9	0.11672980242000001	0.08399950186776667	39	0.132890365448505	False
denovo_delayed_s0p01	decode_meanp	overall	20000.0	0.1	0.096643740075	0.1463080011477	270	0.9003322259136213	False
denovo_delayed_s0p01	decode_meanp	overall	20000.0	0.25	0.112817536725	0.1463080011477	216	0.7209302325581395	False
denovo_delayed_s0p01	decode_meanp	overall	20000.0	0.5	0.13522808045	0.1463080011477	147	0.49169435215946844	False
denovo_delayed_s0p01	decode_meanp	overall	20000.0	0.75	0.165678319775	0.1463080011477	80	0.2691029900332226	False
denovo_delayed_s0p01	decode_meanp	overall	20000.0	0.9	0.19924422575000006	0.1463080011477	40	0.1362126245847176	False
denovo_delayed_s0p01	decode_meanp	overall	30000.0	0.1	0.12840805049	0.19414361391813334	267	0.8903654485049833	False
denovo_delayed_s0p01	decode_meanp	overall	30000.0	0.25	0.149066262325	0.19414361391813334	215	0.717607973421927	False
denovo_delayed_s0p01	decode_meanp	overall	30000.0	0.5	0.18225513775	0.19414361391813334	142	0.4750830564784053	False
denovo_delayed_s0p01	decode_meanp	overall	30000.0	0.75	0.2204521173	0.19414361391813334	82	0.2757475083056478	False
denovo_delayed_s0p01	decode_meanp	overall	30000.0	0.9	0.26716168958000003	0.19414361391813334	38	0.12956810631229235	False
