calibration_id	selection_coefficient	target_allele_frequency	population_af_lower	population_af_upper	duration_multiplier	analytic_selection_end_generations_ago	analytic_selection_duration_generations	requested_selection_end_generations_ago	realized_selection_end_generations_ago	slim_scaling_factor	candidate_pool_diploids	draw_index	seed
han_calibration__s0.010000__af0.100000__m0.150000__q5__draw011	0.01	0.1	0.07500000000000001	0.125	0.15	1453.301330161558	818.6986698384419	2149.195199524234	2150.0	5.0	500	11	867318892
han_calibration__s0.010000__af0.100000__m0.150000__q5__draw012	0.01	0.1	0.07500000000000001	0.125	0.15	1453.301330161558	818.6986698384419	2149.195199524234	2150.0	5.0	500	12	668807470
han_calibration__s0.010000__af0.100000__m0.150000__q5__draw013	0.01	0.1	0.07500000000000001	0.125	0.15	1453.301330161558	818.6986698384419	2149.195199524234	2150.0	5.0	500	13	1400013377
han_calibration__s0.010000__af0.100000__m0.150000__q5__draw014	0.01	0.1	0.07500000000000001	0.125	0.15	1453.301330161558	818.6986698384419	2149.195199524234	2150.0	5.0	500	14	374006242
han_calibration__s0.010000__af0.100000__m0.150000__q5__draw015	0.01	0.1	0.07500000000000001	0.125	0.15	1453.301330161558	818.6986698384419	2149.195199524234	2150.0	5.0	500	15	153855036
han_calibration__s0.010000__af0.100000__m0.150000__q5__draw016	0.01	0.1	0.07500000000000001	0.125	0.15	1453.301330161558	818.6986698384419	2149.195199524234	2150.0	5.0	500	16	2037449530
han_calibration__s0.010000__af0.100000__m0.150000__q5__draw017	0.01	0.1	0.07500000000000001	0.125	0.15	1453.301330161558	818.6986698384419	2149.195199524234	2150.0	5.0	500	17	508436891
han_calibration__s0.010000__af0.100000__m0.150000__q5__draw018	0.01	0.1	0.07500000000000001	0.125	0.15	1453.301330161558	818.6986698384419	2149.195199524234	2150.0	5.0	500	18	33104408
han_calibration__s0.010000__af0.100000__m0.150000__q5__draw019	0.01	0.1	0.07500000000000001	0.125	0.15	1453.301330161558	818.6986698384419	2149.195199524234	2150.0	5.0	500	19	2117065679
han_calibration__s0.010000__af0.100000__m0.200000__q5__draw000	0.01	0.1	0.07500000000000001	0.125	0.2	1453.301330161558	818.6986698384419	2108.260266032312	2110.0	5.0	500	0	2131340964
han_calibration__s0.010000__af0.100000__m0.200000__q5__draw001	0.01	0.1	0.07500000000000001	0.125	0.2	1453.301330161558	818.6986698384419	2108.260266032312	2110.0	5.0	500	1	884117446
