calibration_id	selection_coefficient	target_allele_frequency	population_af_lower	population_af_upper	duration_multiplier	analytic_selection_end_generations_ago	analytic_selection_duration_generations	requested_selection_end_generations_ago	realized_selection_end_generations_ago	slim_scaling_factor	candidate_pool_diploids	draw_index	seed	status	evaluable	terminal_class	candidate_pool_alt_count	candidate_pool_af	candidate_pool_frequency_gate_passed	exact_panel_feasible	elapsed_seconds	error	selection_intervals_json	canonical_result_source	reconciliation_id	reconciliation_mode	original_status	original_terminal_class	original_error	original_plan_sha256	original_ledger_sha256	stdpopsim_recapitation_applied	post_slim_neutral_mutation_overlay_applied	selected_focal_identity_json	trajectory_sha256
han_calibration__s0.005000__af0.100000__m0.150000__q5__draw014	0.005	0.1	0.075	0.125	0.15	634.6026603231162	1637.3973396768838	2026.3903990484675	2025.0	5.0	500	14	528774788	complete	True	segregating	243.0	0.243	False	True	154.1989864279999		"[{""end_time"":2025.0,""population"":""Loschbour"",""start_time"":2272.0}]"	original_screen											
han_calibration__s0.005000__af0.100000__m0.150000__q5__draw015	0.005	0.1	0.075	0.125	0.15	634.6026603231162	1637.3973396768838	2026.3903990484675	2025.0	5.0	500	15	1604813566	complete	True	segregating	231.0	0.231	False	True	78.65961517400001		"[{""end_time"":2025.0,""population"":""Loschbour"",""start_time"":2272.0}]"	original_screen											
han_calibration__s0.005000__af0.100000__m0.150000__q5__draw016	0.005	0.1	0.075	0.125	0.15	634.6026603231162	1637.3973396768838	2026.3903990484675	2025.0	5.0	500	16	2058989260	complete	True	segregating	42.0	0.042	False	False	87.84932583399996		"[{""end_time"":2025.0,""population"":""Loschbour"",""start_time"":2272.0}]"	original_screen											
han_calibration__s0.005000__af0.100000__m0.150000__q5__draw017	0.005	0.1	0.075	0.125	0.15	634.6026603231162	1637.3973396768838	2026.3903990484675	2025.0	5.0	500	17	230127666	complete	True	segregating	58.0	0.058	False	False	98.08309213199982		"[{""end_time"":2025.0,""population"":""Loschbour"",""start_time"":2272.0}]"	original_screen											
han_calibration__s0.005000__af0.100000__m0.150000__q5__draw018	0.005	0.1	0.075	0.125	0.15	634.6026603231162	1637.3973396768838	2026.3903990484675	2025.0	5.0	500	18	2106418587	complete	True	segregating	54.0	0.054	False	True	87.26668258999962		"[{""end_time"":2025.0,""population"":""Loschbour"",""start_time"":2272.0}]"	original_screen											
han_calibration__s0.005000__af0.100000__m0.150000__q5__draw019	0.005	0.1	0.075	0.125	0.15	634.6026603231162	1637.3973396768838	2026.3903990484675	2025.0	5.0	500	19	1070846918	complete	True	segregating	349.0	0.349	False	True	102.40483344699987		"[{""end_time"":2025.0,""population"":""Loschbour"",""start_time"":2272.0}]"	original_screen											
han_calibration__s0.005000__af0.100000__m0.200000__q5__draw000	0.005	0.1	0.075	0.125	0.2	634.6026603231162	1637.3973396768838	1944.5205320646232	1945.0	5.0	500	0	2132513124	complete	True	segregating	353.0	0.353	False	True	106.46680416799973		"[{""end_time"":2015.0,""population"":""Loschbour"",""start_time"":2272.0},{""end_time"":1945.0,""population"":""Han"",""start_time"":2015.0}]"	original_screen											
han_calibration__s0.005000__af0.100000__m0.200000__q5__draw001	0.005	0.1	0.075	0.125	0.2	634.6026603231162	1637.3973396768838	1944.5205320646232	1945.0	5.0	500	1	716129208	complete	True	segregating	10.0	0.01	False	False	97.62636741999997		"[{""end_time"":2015.0,""population"":""Loschbour"",""start_time"":2272.0},{""end_time"":1945.0,""population"":""Han"",""start_time"":2015.0}]"	original_screen											
han_calibration__s0.005000__af0.100000__m0.200000__q5__draw002	0.005	0.1	0.075	0.125	0.2	634.6026603231162	1637.3973396768838	1944.5205320646232	1945.0	5.0	500	2	790754925	complete	True	segregating	115.0	0.115	True	True	113.1877083180002		"[{""end_time"":2015.0,""population"":""Loschbour"",""start_time"":2272.0},{""end_time"":1945.0,""population"":""Han"",""start_time"":2015.0}]"	original_screen											
han_calibration__s0.005000__af0.100000__m0.200000__q5__draw003	0.005	0.1	0.075	0.125	0.2	634.6026603231162	1637.3973396768838	1944.5205320646232	1945.0	5.0	500	3	1657791442	complete	True	segregating	54.0	0.054	False	True	74.8703241369999		"[{""end_time"":2015.0,""population"":""Loschbour"",""start_time"":2272.0},{""end_time"":1945.0,""population"":""Han"",""start_time"":2015.0}]"	original_screen											
