# Gamma-SMC explicit haplotype pairs
# genotype_class	hom_ref
# n_pairs	31
4	5
8	9
10	11
12	13
14	15
20	21
32	33
36	37
58	59
60	61
62	63
64	65
70	71
86	87
98	99
100	101
106	107
126	127
134	135
136	137
146	147
154	155
156	157
158	159
168	169
170	171
180	181
184	185
188	189
190	191
198	199
