# Gamma-SMC explicit haplotype pairs
# genotype_class	heterozygous
# n_pairs	36
2	3
6	7
18	19
22	23
26	27
40	41
44	45
48	49
54	55
62	63
68	69
74	75
76	77
88	89
94	95
98	99
100	101
106	107
112	113
118	119
124	125
142	143
144	145
152	153
158	159
160	161
166	167
168	169
172	173
174	175
176	177
184	185
188	189
192	193
194	195
198	199
