# Gamma-SMC explicit haplotype pairs
# genotype_class	heterozygous
# n_pairs	28
0	1
10	11
18	19
28	29
40	41
50	51
52	53
54	55
68	69
70	71
72	73
80	81
84	85
88	89
90	91
120	121
130	131
132	133
134	135
150	151
156	157
158	159
166	167
168	169
170	171
172	173
186	187
194	195
