statistic	recent_call	statistic_column	statistic_label	center_position_0based	center_selected	center_null_mean	center_null_median	center_null_ci95_lower	center_null_ci95_upper	center_neutral_exceedances	center_monte_carlo_p_upper	profile_truth_bias	profile_truth_mae	profile_truth_rmse	profile_truth_correlation	n_pointwise_p_lt_0_05_windows	n_bh_q_lt_0_05_windows	n_significant_regions
soft_probability		mean_p_tmrca_lt_threshold	Mean posterior P(TMRCA < 4,500 years)	5000000	0.01809491969	0.022744610068500003	0.021884592995	0.01492505223675	0.03578398659049999	87	0.8712871287128713	0.015442897869735002	0.015446241533185	0.016054618221255503	0.3329555545825995	52	0	19
posterior_mean_call	mean	frac_recent_4500	Fraction: posterior mean TMRCA < 4,500 years	5000000	0.008	0.007715	0.0075	0.0045	0.012762499999999996	39	0.39603960396039606	0.001005	0.0016150000000000001	0.002116128540519219	0.5749951480831317	38	0	4
posterior_median_call	median	frac_recent_4500	Fraction: posterior median TMRCA < 4,500 years	5000000	0.012	0.011264999999999999	0.01125	0.0062375	0.0165	44	0.44554455445544555	0.004543000000000001	0.004588000000000001	0.005196152422706632	0.5195715901300949	57	0	8
