region_id	start_0based	end_0based_exclusive	start_mb	end_mb	n_windows	minimum_p	maximum_observed_fraction_recent
1	2745000	2775000	2.745	2.775	3	0.04950495049504951	0.0115
2	2905000	2935000	2.905	2.935	3	0.039603960396039604	0.0115
3	9055000	9355000	9.055	9.355	30	0.009900990099009901	0.015
4	9375000	9395000	9.375	9.395	2	0.04950495049504951	0.0115
