position_0based	n_pairs	observed_fraction_recent	neutral_mean_fraction_recent	neutral_median_fraction_recent	neutral_ci95_lower	neutral_ci95_upper	neutral_exceedances	n_neutral_replicates	p_upper	q_bh
0.0	2000	0.006828168275	0.006768645866659999	0.0065254728485	0.004541532275	0.010030442851924995	47	100	0.4752475247524752	0.9355266235284945
10000.0	2000	0.01466787279	0.015557709893730001	0.014603210375	0.01025782883975	0.023548655077499998	49	100	0.49504950495049505	0.9429514380009429
20000.0	2000	0.01827661526	0.017481118784069997	0.016015932215	0.0108426142955	0.028929530938499946	39	100	0.39603960396039606	0.891981090000892
30000.0	2000	0.01742759223	0.01841001377761	0.017830389675000002	0.01159709410775	0.03094940893899997	53	100	0.5346534653465347	0.9484982111656542
40000.0	2000	0.01505707033	0.018902198597870002	0.017921158365000002	0.012047551799	0.028854311705999995	79	100	0.7920792079207921	0.9827285458074344
50000.0	2000	0.0159371487	0.019378499242030004	0.01882365622	0.012120656164	0.029501262278999994	72	100	0.7227722772277227	0.9688636423964112
60000.0	2000	0.01733120964	0.019481811437880005	0.019051951605	0.013331036667	0.028026723069249995	65	100	0.6534653465346535	0.9623937356916841
70000.0	2000	0.01874568712	0.0199381964463	0.01939143308	0.01425343717975	0.031373412282999974	54	100	0.5445544554455446	0.9484982111656542
80000.0	2000	0.02944615813	0.0204848063815	0.01924393967	0.0142579757145	0.03322012899675	8	100	0.0891089108910891	0.8783136378153944
90000.0	2000	0.0281290679	0.0207833961105	0.019834505455	0.013498239597750001	0.03417759191224997	11	100	0.1188118811881188	0.8783136378153944
100000.0	2000	0.01782357972	0.02085150021476	0.01975618489	0.01329020381875	0.0327158396875	70	100	0.7029702970297029	0.9672609051949971
110000.0	2000	0.01565112494	0.02091474213714	0.02058349712	0.01415146111925	0.029916410510749995	88	100	0.8811881188118812	0.9934103778270804
120000.0	2000	0.01558463102	0.021167619280880002	0.020794461765	0.01421009155825	0.03160400207874999	92	100	0.9207920792079208	0.9976078864657864
