schema	estimand	cohort	source	window	threshold_years	threshold_generations	n_selected	n_neutral	mean_selected_score	median_selected_score	mean_neutral_score	median_neutral_score	mean_selected_minus_neutral	roc_auc	roc_auc_ci95_low	roc_auc_ci95_high	auc_permutation_exceedances	auc_permutation_p_upper	bootstrap_draws	bootstrap_seed	permutation_draws	permutation_seed	permutation_family	score_direction
gamma-smc.han-s001-tmrca-analysis/v1	primary_natural_survivor_overall_p_tmrca	population_survival_only_no_final_af_conditioning	gamma_smc	focal	40000	1600.0	100	100	0.1145387209106	0.1086026883	0.12813938105689998	0.11959488135	-0.013600660146299987	0.4297	0.34968	0.5077025000000001	9579	0.958	2000	8676654742874992914	9999	14763636960973846796	shared_whole_unit_labels_across_seven_thresholds	larger_is_more_selected_no_flipping
gamma-smc.han-s001-tmrca-analysis/v1	primary_natural_survivor_overall_p_tmrca	population_survival_only_no_final_af_conditioning	gamma_smc	focal	50000	2000.0	100	100	0.128889741923	0.1201190613	0.143697018047	0.13546367609999999	-0.014807276123999985	0.4364	0.3571725	0.5132025	9394	0.9395	2000	8676654742874992914	9999	14763636960973846796	shared_whole_unit_labels_across_seven_thresholds	larger_is_more_selected_no_flipping
gamma-smc.han-s001-tmrca-analysis/v1	primary_natural_survivor_overall_p_tmrca	population_survival_only_no_final_af_conditioning	tree_truth	local_100kb	1000	40.0	100	100	0.00273809523809531	0.0	0.0030857142857143006	0.0	-0.00034761904761899075	0.4882	0.42519250000000003	0.55140125	6424	0.6425	2000	3217137679876476038	9999	248527585240029610	shared_whole_unit_labels_across_seven_thresholds	larger_is_more_selected_no_flipping
gamma-smc.han-s001-tmrca-analysis/v1	primary_natural_survivor_overall_p_tmrca	population_survival_only_no_final_af_conditioning	tree_truth	local_100kb	4500	180.0	100	100	0.012566666666667212	0.01	0.013504761904764	0.01	-0.0009380952380967887	0.4727	0.39594875	0.55105625	7460	0.7461	2000	3217137679876476038	9999	248527585240029610	shared_whole_unit_labels_across_seven_thresholds	larger_is_more_selected_no_flipping
gamma-smc.han-s001-tmrca-analysis/v1	primary_natural_survivor_overall_p_tmrca	population_survival_only_no_final_af_conditioning	tree_truth	local_100kb	10000	400.0	100	100	0.031161904761902795	0.0290476190476	0.0320476190476144	0.0302380952381	-0.0008857142857116029	0.4875	0.40629875	0.5688512499999999	6205	0.6206	2000	3217137679876476038	9999	248527585240029610	shared_whole_unit_labels_across_seven_thresholds	larger_is_more_selected_no_flipping
gamma-smc.han-s001-tmrca-analysis/v1	primary_natural_survivor_overall_p_tmrca	population_survival_only_no_final_af_conditioning	tree_truth	local_100kb	20000	800.0	100	100	0.062042857142849996	0.060476190476199995	0.063538095238113	0.0628571428571	-0.0014952380952630087	0.4729	0.39019875	0.5532112499999999	7490	0.7491	2000	3217137679876476038	9999	248527585240029610	shared_whole_unit_labels_across_seven_thresholds	larger_is_more_selected_no_flipping
gamma-smc.han-s001-tmrca-analysis/v1	primary_natural_survivor_overall_p_tmrca	population_survival_only_no_final_af_conditioning	tree_truth	local_100kb	30000	1200.0	100	100	0.09239999999999499	0.0942857142857	0.09200476190476901	0.08976190476189999	0.0003952380952259721	0.50775	0.4249	0.58895625	4234	0.4235	2000	3217137679876476038	9999	248527585240029610	shared_whole_unit_labels_across_seven_thresholds	larger_is_more_selected_no_flipping
gamma-smc.han-s001-tmrca-analysis/v1	primary_natural_survivor_overall_p_tmrca	population_survival_only_no_final_af_conditioning	tree_truth	local_100kb	40000	1600.0	100	100	0.12482857142859301	0.120714285714	0.122757142857177	0.1211904761905	0.002071428571416012	0.5087	0.4282975	0.58540125	4185	0.4186	2000	3217137679876476038	9999	248527585240029610	shared_whole_unit_labels_across_seven_thresholds	larger_is_more_selected_no_flipping
gamma-smc.han-s001-tmrca-analysis/v1	primary_natural_survivor_overall_p_tmrca	population_survival_only_no_final_af_conditioning	tree_truth	local_100kb	50000	2000.0	100	100	0.151252380952375	0.145476190476	0.150780952380981	0.14619047619	0.0004714285713940114	0.5083	0.42814624999999995	0.59050375	4206	0.4207	2000	3217137679876476038	9999	248527585240029610	shared_whole_unit_labels_across_seven_thresholds	larger_is_more_selected_no_flipping
gamma-smc.han-s001-tmrca-analysis/v1	primary_natural_survivor_overall_p_tmrca	population_survival_only_no_final_af_conditioning	tree_truth	focal	1000	40.0	100	100	0.0028000000000000004	0.0	0.0031000000000000003	0.0	-0.0002999999999999999	0.48395	0.41914625	0.5468025	6917	0.6918	2000	26065655580277944	9999	9673783687432718002	shared_whole_unit_labels_across_seven_thresholds	larger_is_more_selected_no_flipping
gamma-smc.han-s001-tmrca-analysis/v1	primary_natural_survivor_overall_p_tmrca	population_survival_only_no_final_af_conditioning	tree_truth	focal	4500	180.0	100	100	0.0131	0.01	0.0132	0.01	-9.99999999999994e-05	0.49595	0.4179825	0.5752862499999999	5376	0.5377	2000	26065655580277944	9999	9673783687432718002	shared_whole_unit_labels_across_seven_thresholds	larger_is_more_selected_no_flipping
gamma-smc.han-s001-tmrca-analysis/v1	primary_natural_survivor_overall_p_tmrca	population_survival_only_no_final_af_conditioning	tree_truth	focal	10000	400.0	100	100	0.0315	0.03	0.0319	0.03	-0.0003999999999999976	0.4967	0.41794125	0.578305	5246	0.5247	2000	26065655580277944	9999	9673783687432718002	shared_whole_unit_labels_across_seven_thresholds	larger_is_more_selected_no_flipping
gamma-smc.han-s001-tmrca-analysis/v1	primary_natural_survivor_overall_p_tmrca	population_survival_only_no_final_af_conditioning	tree_truth	focal	20000	800.0	100	100	0.0642	0.06	0.06250000000000001	0.06	0.0016999999999999793	0.52065	0.44579375	0.60076	3037	0.3038	2000	26065655580277944	9999	9673783687432718002	shared_whole_unit_labels_across_seven_thresholds	larger_is_more_selected_no_flipping
gamma-smc.han-s001-tmrca-analysis/v1	primary_natural_survivor_overall_p_tmrca	population_survival_only_no_final_af_conditioning	tree_truth	focal	30000	1200.0	100	100	0.09820000000000001	0.1	0.09220000000000002	0.09	0.0059999999999999915	0.53705	0.4605325	0.61405375	1794	0.1795	2000	26065655580277944	9999	9673783687432718002	shared_whole_unit_labels_across_seven_thresholds	larger_is_more_selected_no_flipping
gamma-smc.han-s001-tmrca-analysis/v1	primary_natural_survivor_overall_p_tmrca	population_survival_only_no_final_af_conditioning	tree_truth	focal	40000	1600.0	100	100	0.128	0.13	0.12200000000000001	0.12	0.0059999999999999915	0.54595	0.46419875	0.6272012499999999	1347	0.1348	2000	26065655580277944	9999	9673783687432718002	shared_whole_unit_labels_across_seven_thresholds	larger_is_more_selected_no_flipping
gamma-smc.han-s001-tmrca-analysis/v1	primary_natural_survivor_overall_p_tmrca	population_survival_only_no_final_af_conditioning	tree_truth	focal	50000	2000.0	100	100	0.15400000000000003	0.15	0.1472	0.14	0.006800000000000028	0.5415	0.46279624999999996	0.6221549999999999	1574	0.1575	2000	26065655580277944	9999	9673783687432718002	shared_whole_unit_labels_across_seven_thresholds	larger_is_more_selected_no_flipping
