status	estimand	null_model	empirical_id	variant_id	source	window	n_thresholds	thresholds_years	observed_min_pointwise_p	threshold_years_at_min_pointwise_p	n_shared_neutral_profiles	neutral_profile_exceedance_count	omnibus_mc_p_upper	minimum_attainable_p	af_match_tolerance	sample_detection_matched	omnibus_method	null_definition
unavailable_no_explicit_empirical_table	primary_empirical_overall_p_tmrca	all_natural_neutral_population_survivors_no_af_conditioning					7	1000,4500,10000,20000,30000,40000,50000								False		no empirical claim; supply a validated empirical table; all natural neutral population survivors; no final-population-AF, sample-AF, or sample-detection conditioning
unavailable_no_explicit_empirical_table	secondary_empirical_sample_detection_and_af_matched	natural_neutral_population_survivors_matched_on_sample_detection_and_af					7	1000,4500,10000,20000,30000,40000,50000								True		no empirical claim; supply a validated empirical table; secondary natural neutral survivors matched on sample detection and the empirical sample-AF caliper
