unit_id	simulation_class	selection_coefficient	seed	source	window	threshold_years	score	final_population_af	sample_alt_count	sample_af	sample_detected
neutral_0001	neutral	0.0	1302189023	tree_truth	local_100kb	1000	0.01	0.0615079365079	11	0.055	True
neutral_0001	neutral	0.0	1302189023	tree_truth	local_100kb	4500	0.0157142857143	0.0615079365079	11	0.055	True
neutral_0001	neutral	0.0	1302189023	tree_truth	local_100kb	10000	0.0309523809524	0.0615079365079	11	0.055	True
neutral_0001	neutral	0.0	1302189023	tree_truth	local_100kb	20000	0.0585714285714	0.0615079365079	11	0.055	True
neutral_0001	neutral	0.0	1302189023	tree_truth	local_100kb	30000	0.0780952380952	0.0615079365079	11	0.055	True
neutral_0001	neutral	0.0	1302189023	tree_truth	local_100kb	40000	0.0909523809524	0.0615079365079	11	0.055	True
neutral_0001	neutral	0.0	1302189023	tree_truth	local_100kb	50000	0.113333333333	0.0615079365079	11	0.055	True
neutral_0002	neutral	0.0	61374882	gamma_smc	focal	1000	0.01589765213	0.230555555556	58	0.29	True
neutral_0002	neutral	0.0	61374882	gamma_smc	focal	4500	0.05543816902	0.230555555556	58	0.29	True
neutral_0002	neutral	0.0	61374882	gamma_smc	focal	10000	0.1008670706	0.230555555556	58	0.29	True
neutral_0002	neutral	0.0	61374882	gamma_smc	focal	20000	0.1543322241	0.230555555556	58	0.29	True
neutral_0002	neutral	0.0	61374882	gamma_smc	focal	30000	0.187897546	0.230555555556	58	0.29	True
neutral_0002	neutral	0.0	61374882	gamma_smc	focal	40000	0.2130914918	0.230555555556	58	0.29	True
neutral_0002	neutral	0.0	61374882	gamma_smc	focal	50000	0.2343536814	0.230555555556	58	0.29	True
neutral_0002	neutral	0.0	61374882	gamma_smc	local_100kb	1000	0.0148954240837	0.230555555556	58	0.29	True
neutral_0002	neutral	0.0	61374882	gamma_smc	local_100kb	4500	0.050204925369	0.230555555556	58	0.29	True
neutral_0002	neutral	0.0	61374882	gamma_smc	local_100kb	10000	0.0884415839333	0.230555555556	58	0.29	True
neutral_0002	neutral	0.0	61374882	gamma_smc	local_100kb	20000	0.134264271937	0.230555555556	58	0.29	True
neutral_0002	neutral	0.0	61374882	gamma_smc	local_100kb	30000	0.166056965495	0.230555555556	58	0.29	True
neutral_0002	neutral	0.0	61374882	gamma_smc	local_100kb	40000	0.191535535162	0.230555555556	58	0.29	True
neutral_0002	neutral	0.0	61374882	gamma_smc	local_100kb	50000	0.213401142871	0.230555555556	58	0.29	True
neutral_0002	neutral	0.0	61374882	tree_truth	focal	1000	0.01	0.230555555556	58	0.29	True
neutral_0002	neutral	0.0	61374882	tree_truth	focal	4500	0.02	0.230555555556	58	0.29	True
neutral_0002	neutral	0.0	61374882	tree_truth	focal	10000	0.06	0.230555555556	58	0.29	True
neutral_0002	neutral	0.0	61374882	tree_truth	focal	20000	0.13	0.230555555556	58	0.29	True
neutral_0002	neutral	0.0	61374882	tree_truth	focal	30000	0.16	0.230555555556	58	0.29	True
neutral_0002	neutral	0.0	61374882	tree_truth	focal	40000	0.18	0.230555555556	58	0.29	True
neutral_0002	neutral	0.0	61374882	tree_truth	focal	50000	0.22	0.230555555556	58	0.29	True
neutral_0002	neutral	0.0	61374882	tree_truth	local_100kb	1000	0.01	0.230555555556	58	0.29	True
neutral_0002	neutral	0.0	61374882	tree_truth	local_100kb	4500	0.022380952381	0.230555555556	58	0.29	True
neutral_0002	neutral	0.0	61374882	tree_truth	local_100kb	10000	0.0590476190476	0.230555555556	58	0.29	True
neutral_0002	neutral	0.0	61374882	tree_truth	local_100kb	20000	0.114285714286	0.230555555556	58	0.29	True
neutral_0002	neutral	0.0	61374882	tree_truth	local_100kb	30000	0.13	0.230555555556	58	0.29	True
neutral_0002	neutral	0.0	61374882	tree_truth	local_100kb	40000	0.157619047619	0.230555555556	58	0.29	True
neutral_0002	neutral	0.0	61374882	tree_truth	local_100kb	50000	0.17380952381	0.230555555556	58	0.29	True
neutral_0003	neutral	0.0	515720359	gamma_smc	focal	1000	0.003632267102	0.0170634920635	3	0.015	True
neutral_0003	neutral	0.0	515720359	gamma_smc	focal	4500	0.01592639842	0.0170634920635	3	0.015	True
neutral_0003	neutral	0.0	515720359	gamma_smc	focal	10000	0.03160916466	0.0170634920635	3	0.015	True
neutral_0003	neutral	0.0	515720359	gamma_smc	focal	20000	0.05285848999	0.0170634920635	3	0.015	True
neutral_0003	neutral	0.0	515720359	gamma_smc	focal	30000	0.06900562742	0.0170634920635	3	0.015	True
neutral_0003	neutral	0.0	515720359	gamma_smc	focal	40000	0.08216296965	0.0170634920635	3	0.015	True
neutral_0003	neutral	0.0	515720359	gamma_smc	focal	50000	0.09330857377	0.0170634920635	3	0.015	True
neutral_0003	neutral	0.0	515720359	gamma_smc	local_100kb	1000	0.00257028531986	0.0170634920635	3	0.015	True
neutral_0003	neutral	0.0	515720359	gamma_smc	local_100kb	4500	0.0117702082414	0.0170634920635	3	0.015	True
neutral_0003	neutral	0.0	515720359	gamma_smc	local_100kb	10000	0.0249101345043	0.0170634920635	3	0.015	True
neutral_0003	neutral	0.0	515720359	gamma_smc	local_100kb	20000	0.0452714148314	0.0170634920635	3	0.015	True
neutral_0003	neutral	0.0	515720359	gamma_smc	local_100kb	30000	0.0624948124929	0.0170634920635	3	0.015	True
neutral_0003	neutral	0.0	515720359	gamma_smc	local_100kb	40000	0.07731687067	0.0170634920635	3	0.015	True
neutral_0003	neutral	0.0	515720359	gamma_smc	local_100kb	50000	0.0901430264895	0.0170634920635	3	0.015	True
neutral_0003	neutral	0.0	515720359	tree_truth	focal	1000	0.0	0.0170634920635	3	0.015	True
neutral_0003	neutral	0.0	515720359	tree_truth	focal	4500	0.0	0.0170634920635	3	0.015	True
neutral_0003	neutral	0.0	515720359	tree_truth	focal	10000	0.01	0.0170634920635	3	0.015	True
neutral_0003	neutral	0.0	515720359	tree_truth	focal	20000	0.03	0.0170634920635	3	0.015	True
neutral_0003	neutral	0.0	515720359	tree_truth	focal	30000	0.07	0.0170634920635	3	0.015	True
neutral_0003	neutral	0.0	515720359	tree_truth	focal	40000	0.1	0.0170634920635	3	0.015	True
neutral_0003	neutral	0.0	515720359	tree_truth	focal	50000	0.14	0.0170634920635	3	0.015	True
neutral_0003	neutral	0.0	515720359	tree_truth	local_100kb	1000	0.0	0.0170634920635	3	0.015	True
neutral_0003	neutral	0.0	515720359	tree_truth	local_100kb	4500	0.0	0.0170634920635	3	0.015	True
neutral_0003	neutral	0.0	515720359	tree_truth	local_100kb	10000	0.0133333333333	0.0170634920635	3	0.015	True
