schema	estimand	source	window	af_stratum_width	common_strata	af_stratum_definition	n_thresholds	max_observed_auc	threshold_years_at_max_auc	max_auc_permutation_exceedances	max_auc_permutation_p_upper	permutation_draws	permutation_seed	omnibus_method
gamma-smc.han-s001-tmrca-analysis/v1	secondary_sample_af_stratified_common_support_pair_weighted	gamma_smc	local_100kb	0.05	sample_undetected_af_zero,sample_detected_af_bin_0,sample_detected_af_bin_1,sample_detected_af_bin_2,sample_detected_af_bin_3,sample_detected_af_bin_4,sample_detected_af_bin_5,sample_detected_af_bin_6,sample_detected_af_bin_7,sample_detected_af_bin_8,sample_detected_af_bin_9,sample_detected_af_bin_10,sample_detected_af_bin_11	sample-undetected AF=0 is separate; detected samples use floor(sample_af/af_stratum_width)	7	0.5055986218776917	1000	6634	0.6635	9999	7981534282655502049	max_auc_within_af_stratum_unit_label_permutation_plus_one
gamma-smc.han-s001-tmrca-analysis/v1	secondary_sample_af_stratified_common_support_pair_weighted	gamma_smc	focal	0.05	sample_undetected_af_zero,sample_detected_af_bin_0,sample_detected_af_bin_1,sample_detected_af_bin_2,sample_detected_af_bin_3,sample_detected_af_bin_4,sample_detected_af_bin_5,sample_detected_af_bin_6,sample_detected_af_bin_7,sample_detected_af_bin_8,sample_detected_af_bin_9,sample_detected_af_bin_10,sample_detected_af_bin_11	sample-undetected AF=0 is separate; detected samples use floor(sample_af/af_stratum_width)	7	0.4892334194659776	1000	7854	0.7855	9999	3997468325603121776	max_auc_within_af_stratum_unit_label_permutation_plus_one
gamma-smc.han-s001-tmrca-analysis/v1	secondary_sample_af_stratified_common_support_pair_weighted	tree_truth	local_100kb	0.05	sample_undetected_af_zero,sample_detected_af_bin_0,sample_detected_af_bin_1,sample_detected_af_bin_2,sample_detected_af_bin_3,sample_detected_af_bin_4,sample_detected_af_bin_5,sample_detected_af_bin_6,sample_detected_af_bin_7,sample_detected_af_bin_8,sample_detected_af_bin_9,sample_detected_af_bin_10,sample_detected_af_bin_11	sample-undetected AF=0 is separate; detected samples use floor(sample_af/af_stratum_width)	7	0.52885443583118	30000	6475	0.6476	9999	6100380568839548696	max_auc_within_af_stratum_unit_label_permutation_plus_one
gamma-smc.han-s001-tmrca-analysis/v1	secondary_sample_af_stratified_common_support_pair_weighted	tree_truth	focal	0.05	sample_undetected_af_zero,sample_detected_af_bin_0,sample_detected_af_bin_1,sample_detected_af_bin_2,sample_detected_af_bin_3,sample_detected_af_bin_4,sample_detected_af_bin_5,sample_detected_af_bin_6,sample_detected_af_bin_7,sample_detected_af_bin_8,sample_detected_af_bin_9,sample_detected_af_bin_10,sample_detected_af_bin_11	sample-undetected AF=0 is separate; detected samples use floor(sample_af/af_stratum_width)	7	0.5525409130060293	30000	4499	0.45	9999	170095735565719168	max_auc_within_af_stratum_unit_label_permutation_plus_one
