status	estimand	null_model	empirical_id	variant_id	source	window	threshold_years	threshold_generations	observed_score	observed_sample_af	af_match_tolerance	sample_detection_matched	n_matched_neutral	neutral_upper_exceedance_count	mc_p_upper	minimum_attainable_p	null_definition
unavailable_no_explicit_empirical_table	primary_empirical_overall_p_tmrca	all_natural_neutral_population_survivors_no_af_conditioning															no empirical claim; supply a validated empirical table; all natural neutral population survivors; no final-population-AF, sample-AF, or sample-detection conditioning
unavailable_no_explicit_empirical_table	secondary_empirical_sample_detection_and_af_matched	natural_neutral_population_survivors_matched_on_sample_detection_and_af															no empirical claim; supply a validated empirical table; secondary natural neutral survivors matched on sample detection and the empirical sample-AF caliper
