replicate	global_n_pointwise_p_lt_0_05	local_n_pointwise_p_lt_0_05
0	504	41
1	579	5
2	287	0
3	554	75
4	507	94
5	269	0
6	309	2
7	237	0
8	395	6
9	333	0
10	635	27
11	619	34
12	416	24
13	495	24
14	614	7
15	571	222
16	491	32
17	436	20
18	145	23
19	584	27
20	240	6
21	509	0
22	407	0
23	123	0
24	257	34
25	366	77
26	227	22
27	231	63
28	506	157
29	447	54
30	600	126
31	296	5
32	249	21
33	369	0
34	428	56
35	394	142
36	332	38
37	417	14
38	343	17
39	264	27
40	613	241
41	172	21
42	543	10
43	161	44
44	306	68
45	308	39
46	540	0
47	496	112
48	285	74
49	306	54
50	455	10
51	272	17
52	384	17
53	480	0
54	232	10
55	228	0
56	151	39
57	333	106
58	555	0
59	615	162
60	352	160
61	563	5
62	389	0
63	276	16
64	522	11
65	701	7
66	622	0
67	309	56
68	476	150
69	539	114
70	238	8
71	321	0
72	331	34
73	245	9
74	172	10
75	416	0
76	389	29
77	648	57
78	324	0
79	468	112
80	410	177
81	349	67
82	335	0
83	432	3
84	561	0
85	377	15
86	367	0
87	94	0
88	277	9
89	209	0
90	744	8
91	758	132
92	541	0
93	503	5
94	437	1
95	315	22
96	302	45
97	659	132
98	166	0
99	443	64
