schema	analysis_role	demography	statistic	n_neutral	n_thresholds	thresholds_years	minimum_attainable_p	omnibus_method	observed_min_pointwise_p_upper	threshold_years_at_min_pointwise_p_upper	observed_score_at_min_pointwise_p_upper	neutral_minp_as_or_more_extreme_count_upper	omnibus_mc_p_upper	observed_min_pointwise_p_lower	threshold_years_at_min_pointwise_p_lower	observed_score_at_min_pointwise_p_lower	neutral_minp_as_or_more_extreme_count_lower	omnibus_mc_p_lower	observed_min_pointwise_p_two_sided	threshold_years_at_min_pointwise_p_two_sided	observed_score_at_min_pointwise_p_two_sided	neutral_minp_as_or_more_extreme_count_two_sided	omnibus_mc_p_two_sided
gamma-smc.cosi2-conditioned-focal-pairs/v2	primary_shared_homozygote_bank	EAS	p_hom_alt_minus_hom_ref	96	7	1000,4500,10000,20000,30000,40000,50000	0.010309278350515464	exchangeable_whole_unit_minP_over_seven_thresholds	0.16494845360824742	1000	0.033085894558232604	27	0.28865979381443296	0.62886597938144329	30000	0.32790875465509983	73	0.76288659793814428	0.32989690721649484	1000	0.033085894558232604	50	0.52577319587628868
gamma-smc.cosi2-conditioned-focal-pairs/v2	primary_shared_homozygote_bank	Han	p_hom_alt_minus_hom_ref	63	7	1000,4500,10000,20000,30000,40000,50000	0.015625	exchangeable_whole_unit_minP_over_seven_thresholds	0.84375	1000	0.017711853990936607	60	0.953125	0.0625	10000	0.099739484880679519	7	0.125	0.125	10000	0.099739484880679519	18	0.296875
