schema	unit_id	demography	simulation_class	selection_coefficient	seed	generation_time_years	threshold_years	posthoc_overall_score	decoder_cpp_overall_score	signed_difference	absolute_difference
gamma-smc.cosi2-conditioned-focal-pairs/v2	eas_neutral_exact_population_af_reverse_bridge_r001	EAS	neutral	0	2026083601	25	20000	0.15387077968572882	0.15386594549999991	4.834185728913587e-06	4.834185728913587e-06
gamma-smc.cosi2-conditioned-focal-pairs/v2	eas_neutral_exact_population_af_reverse_bridge_r001	EAS	neutral	0	2026083601	25	30000	0.19968001206708738	0.19967601600000001	3.9960670873695481e-06	3.9960670873695481e-06
gamma-smc.cosi2-conditioned-focal-pairs/v2	eas_neutral_exact_population_af_reverse_bridge_r001	EAS	neutral	0	2026083601	25	40000	0.23387481668030211	0.2338715888	3.2278803021035252e-06	3.2278803021035252e-06
gamma-smc.cosi2-conditioned-focal-pairs/v2	eas_neutral_exact_population_af_reverse_bridge_r001	EAS	neutral	0	2026083601	25	50000	0.26016172148311439	0.2601590386	2.6828831143910215e-06	2.6828831143910215e-06
gamma-smc.cosi2-conditioned-focal-pairs/v2	eas_neutral_exact_population_af_reverse_bridge_r002	EAS	neutral	0	2026083602	25	1000	0.008471905520316644	0.0084710057929999003	8.997273167436759e-07	8.997273167436759e-07
gamma-smc.cosi2-conditioned-focal-pairs/v2	eas_neutral_exact_population_af_reverse_bridge_r002	EAS	neutral	0	2026083602	25	4500	0.035479011242118275	0.035476415300000001	2.5959421182733533e-06	2.5959421182733533e-06
gamma-smc.cosi2-conditioned-focal-pairs/v2	eas_neutral_exact_population_af_reverse_bridge_r002	EAS	neutral	0	2026083602	25	10000	0.074386095149275605	0.074382749260000006	3.345889275599423e-06	3.345889275599423e-06
gamma-smc.cosi2-conditioned-focal-pairs/v2	eas_neutral_exact_population_af_reverse_bridge_r002	EAS	neutral	0	2026083602	25	20000	0.13557715456353742	0.13557385080000001	3.3037635374100205e-06	3.3037635374100205e-06
gamma-smc.cosi2-conditioned-focal-pairs/v2	eas_neutral_exact_population_af_reverse_bridge_r002	EAS	neutral	0	2026083602	25	30000	0.18609666861252469	0.186093905	2.7636125246865983e-06	2.7636125246865983e-06
gamma-smc.cosi2-conditioned-focal-pairs/v2	eas_neutral_exact_population_af_reverse_bridge_r002	EAS	neutral	0	2026083602	25	40000	0.22809084108286035	0.22808864570000001	2.1953828603371583e-06	2.1953828603371583e-06
gamma-smc.cosi2-conditioned-focal-pairs/v2	eas_neutral_exact_population_af_reverse_bridge_r002	EAS	neutral	0	2026083602	25	50000	0.26347356048629139	0.26347182629999988	1.7341862915132289e-06	1.7341862915132289e-06
gamma-smc.cosi2-conditioned-focal-pairs/v2	eas_neutral_exact_population_af_reverse_bridge_r003	EAS	neutral	0	2026083603	25	1000	0.010049596029376971	0.0100488266999999	7.6932937707017979e-07	7.6932937707017979e-07
gamma-smc.cosi2-conditioned-focal-pairs/v2	eas_neutral_exact_population_af_reverse_bridge_r003	EAS	neutral	0	2026083603	25	4500	0.046184684166818826	0.04618291796	1.7662068188262214e-06	1.7662068188262214e-06
gamma-smc.cosi2-conditioned-focal-pairs/v2	eas_neutral_exact_population_af_reverse_bridge_r003	EAS	neutral	0	2026083603	25	10000	0.099391672379058243	0.09938992327	1.7491090582438806e-06	1.7491090582438806e-06
