schema	analysis_role	demography	statistic	threshold_years	observed_selected	n_neutral	minimum_attainable_p	neutral_mean	neutral_median	neutral_q025	neutral_q975	neutral_upper_extreme_count	neutral_lower_extreme_count	mc_p_upper	mc_p_lower	mc_p_two_sided	neutral_midrank_descriptive_auc	tail_contract	null_bank	pairing_unit
gamma-smc.cosi2-conditioned-focal-pairs/v2	primary_shared_homozygote_bank	Han	p_hom_alt_minus_hom_ref	40000	0.1514899154474687	63	0.015625	0.50586678388247175	0.52432753252871223	0.093723862401116395	0.73389608827107178	60	3	0.953125	0.0625	0.125	0.047619047619047616	plus_one_conservative_ties	shared_complete_case_ref_ref_and_alt_alt	unordered_haplotype_pair_pseudodiploid
gamma-smc.cosi2-conditioned-focal-pairs/v2	primary_shared_homozygote_bank	Han	p_hom_alt_minus_hom_ref	50000	0.13872787744844672	63	0.015625	0.48996697994904603	0.52559244127009652	0.095857387653774037	0.71510670772681983	59	4	0.9375	0.078125	0.15625	0.063492063492063489	plus_one_conservative_ties	shared_complete_case_ref_ref_and_alt_alt	unordered_haplotype_pair_pseudodiploid
gamma-smc.cosi2-conditioned-focal-pairs/v2	secondary_class_specific_bank	EAS	p_hom_alt	1000	0.041010702714337897	96	0.010309278350515464	0.034563343436165288	0.032655458312056802	0.015192657760796044	0.063015480469962748	27	69	0.28865979381443296	0.72164948453608246	0.57731958762886593	0.71875	plus_one_conservative_ties	maximal_eligible_hom_alt_bank	unordered_haplotype_pair_pseudodiploid
gamma-smc.cosi2-conditioned-focal-pairs/v2	secondary_class_specific_bank	EAS	p_hom_alt	4500	0.13378361746017106	96	0.010309278350515464	0.1430400998031027	0.13665150576838625	0.074172234045887867	0.24781762967345314	50	46	0.52577319587628868	0.4845360824742268	0.96907216494845361	0.47916666666666669	plus_one_conservative_ties	maximal_eligible_hom_alt_bank	unordered_haplotype_pair_pseudodiploid
gamma-smc.cosi2-conditioned-focal-pairs/v2	secondary_class_specific_bank	EAS	p_hom_alt	10000	0.24880982998279835	96	0.010309278350515464	0.27801686630053835	0.26607782818949899	0.14666678163320096	0.45060209433500087	58	38	0.60824742268041232	0.40206185567010311	0.80412371134020622	0.39583333333333331	plus_one_conservative_ties	maximal_eligible_hom_alt_bank	unordered_haplotype_pair_pseudodiploid
gamma-smc.cosi2-conditioned-focal-pairs/v2	secondary_class_specific_bank	EAS	p_hom_alt	20000	0.39225216297868487	96	0.010309278350515464	0.44720783332523956	0.44203823444970453	0.23888731728464163	0.67449219324316922	66	30	0.69072164948453607	0.31958762886597936	0.63917525773195871	0.3125	plus_one_conservative_ties	maximal_eligible_hom_alt_bank	unordered_haplotype_pair_pseudodiploid
gamma-smc.cosi2-conditioned-focal-pairs/v2	secondary_class_specific_bank	EAS	p_hom_alt	30000	0.48506820197567241	96	0.010309278350515464	0.55821429064553529	0.55804507020340177	0.3153536157478074	0.80223700589726088	69	27	0.72164948453608246	0.28865979381443296	0.57731958762886593	0.28125	plus_one_conservative_ties	maximal_eligible_hom_alt_bank	unordered_haplotype_pair_pseudodiploid
gamma-smc.cosi2-conditioned-focal-pairs/v2	secondary_class_specific_bank	EAS	p_hom_alt	40000	0.55118669610817561	96	0.010309278350515464	0.6359129811315346	0.64247853544364875	0.37503511959742986	0.87703603384150308	69	27	0.72164948453608246	0.28865979381443296	0.57731958762886593	0.28125	plus_one_conservative_ties	maximal_eligible_hom_alt_bank	unordered_haplotype_pair_pseudodiploid
gamma-smc.cosi2-conditioned-focal-pairs/v2	secondary_class_specific_bank	EAS	p_hom_alt	50000	0.60214668105004987	96	0.010309278350515464	0.69296881314394165	0.70842466760738987	0.41533773498971477	0.92246298634953372	71	25	0.74226804123711343	0.26804123711340205	0.53608247422680411	0.26041666666666669	plus_one_conservative_ties	maximal_eligible_hom_alt_bank	unordered_haplotype_pair_pseudodiploid
gamma-smc.cosi2-conditioned-focal-pairs/v2	secondary_class_specific_bank	EAS	p_hom_ref	1000	0.0079248081561052938	96	0.010309278350515464	0.014800715015405599	0.013863860213687422	0.0078658566266614997	0.02797434494490756	92	4	0.95876288659793818	0.051546391752577317	0.10309278350515463	0.041666666666666664	plus_one_conservative_ties	maximal_eligible_hom_ref_bank	unordered_haplotype_pair_pseudodiploid
gamma-smc.cosi2-conditioned-focal-pairs/v2	secondary_class_specific_bank	EAS	p_hom_ref	4500	0.032281005612859417	96	0.010309278350515464	0.064684289049609225	0.060881035723115026	0.033481340403918619	0.12542099285460359	94	2	0.97938144329896903	0.030927835051546393	0.061855670103092786	0.020833333333333332	plus_one_conservative_ties	maximal_eligible_hom_ref_bank	unordered_haplotype_pair_pseudodiploid
