unit_id	demography	simulation_class	selection_coefficient	seed	generation_time_years	focal_status	focal_alt_count_full_sample	focal_alt_count_pair_panel	n_hom_ref_pairs	n_heterozygous_pairs	n_hom_alt_pairs	hom_ref_eligible	heterozygous_eligible	hom_alt_eligible	primary_shared_homozygote_eligible	exclusion_reason
han_introgressed_neutral_g645_gate_r061	Han	neutral	0	2026086123	29	unique_exact_focal_site	10	6	4371	564	15	True	True	True	True	
han_introgressed_neutral_g645_gate_r062	Han	neutral	0	2026086215	29	unique_exact_focal_site	1	1	4851	99	0	True	True	False	False	fewer_than_two_alt_haplotypes_in_fixed_pair_panel
han_introgressed_neutral_g645_gate_r063	Han	neutral	0	2026086230	29	absent_from_sample	0	0	4950	0	0	True	False	False	False	fewer_than_two_alt_haplotypes_in_fixed_pair_panel
han_introgressed_neutral_g645_gate_r064	Han	neutral	0	2026086233	29	unique_exact_focal_site	11	6	4371	564	15	True	True	True	True	
han_introgressed_neutral_g645_gate_r065	Han	neutral	0	2026086249	29	absent_from_sample	0	0	4950	0	0	True	False	False	False	fewer_than_two_alt_haplotypes_in_fixed_pair_panel
han_introgressed_neutral_g645_gate_r066	Han	neutral	0	2026086378	29	absent_from_sample	0	0	4950	0	0	True	False	False	False	fewer_than_two_alt_haplotypes_in_fixed_pair_panel
han_introgressed_neutral_g645_gate_r067	Han	neutral	0	2026086441	29	unique_exact_focal_site	2	2	4753	196	1	True	True	True	True	
han_introgressed_neutral_g645_gate_r068	Han	neutral	0	2026086539	29	unique_exact_focal_site	1	1	4851	99	0	True	True	False	False	fewer_than_two_alt_haplotypes_in_fixed_pair_panel
han_introgressed_neutral_g645_gate_r069	Han	neutral	0	2026086559	29	unique_exact_focal_site	2	2	4753	196	1	True	True	True	True	
han_introgressed_neutral_g645_gate_r070	Han	neutral	0	2026086644	29	unique_exact_focal_site	1	1	4851	99	0	True	True	False	False	fewer_than_two_alt_haplotypes_in_fixed_pair_panel
han_introgressed_neutral_g645_gate_r071	Han	neutral	0	2026086696	29	unique_exact_focal_site	1	1	4851	99	0	True	True	False	False	fewer_than_two_alt_haplotypes_in_fixed_pair_panel
han_introgressed_neutral_g645_gate_r072	Han	neutral	0	2026086716	29	unique_exact_focal_site	5	3	4656	291	3	True	True	True	True	
han_introgressed_neutral_g645_gate_r073	Han	neutral	0	2026086727	29	absent_from_sample	0	0	4950	0	0	True	False	False	False	fewer_than_two_alt_haplotypes_in_fixed_pair_panel
han_introgressed_neutral_g645_gate_r074	Han	neutral	0	2026086806	29	unique_exact_focal_site	6	4	4560	384	6	True	True	True	True	
han_introgressed_neutral_g645_gate_r075	Han	neutral	0	2026086831	29	unique_exact_focal_site	2	2	4753	196	1	True	True	True	True	
han_introgressed_neutral_g645_gate_r076	Han	neutral	0	2026086844	29	unique_exact_focal_site	4	3	4656	291	3	True	True	True	True	
han_introgressed_neutral_g645_gate_r077	Han	neutral	0	2026086934	29	unique_exact_focal_site	3	3	4656	291	3	True	True	True	True	
han_introgressed_neutral_g645_gate_r078	Han	neutral	0	2026086983	29	absent_from_sample	0	0	4950	0	0	True	False	False	False	fewer_than_two_alt_haplotypes_in_fixed_pair_panel
han_introgressed_neutral_g645_gate_r079	Han	neutral	0	2026087068	29	unique_exact_focal_site	6	4	4560	384	6	True	True	True	True	
han_introgressed_neutral_g645_gate_r080	Han	neutral	0	2026087121	29	unique_exact_focal_site	2	2	4753	196	1	True	True	True	True	
han_introgressed_neutral_g645_gate_r081	Han	neutral	0	2026087134	29	unique_exact_focal_site	6	4	4560	384	6	True	True	True	True	
han_introgressed_neutral_g645_gate_r082	Han	neutral	0	2026087139	29	unique_exact_focal_site	1	1	4851	99	0	True	True	False	False	fewer_than_two_alt_haplotypes_in_fixed_pair_panel
han_introgressed_neutral_g645_gate_r083	Han	neutral	0	2026087143	29	unique_exact_focal_site	2	2	4753	196	1	True	True	True	True	
han_introgressed_neutral_g645_gate_r084	Han	neutral	0	2026087151	29	unique_exact_focal_site	4	3	4656	291	3	True	True	True	True	
han_introgressed_neutral_g645_gate_r085	Han	neutral	0	2026087173	29	unique_exact_focal_site	2	2	4753	196	1	True	True	True	True	
han_introgressed_neutral_g645_gate_r086	Han	neutral	0	2026087178	29	unique_exact_focal_site	1	1	4851	99	0	True	True	False	False	fewer_than_two_alt_haplotypes_in_fixed_pair_panel
han_introgressed_neutral_g645_gate_r087	Han	neutral	0	2026087210	29	unique_exact_focal_site	1	1	4851	99	0	True	True	False	False	fewer_than_two_alt_haplotypes_in_fixed_pair_panel
han_introgressed_neutral_g645_gate_r088	Han	neutral	0	2026087231	29	unique_exact_focal_site	2	2	4753	196	1	True	True	True	True	
han_introgressed_neutral_g645_gate_r089	Han	neutral	0	2026087268	29	absent_from_sample	0	0	4950	0	0	True	False	False	False	fewer_than_two_alt_haplotypes_in_fixed_pair_panel
han_introgressed_neutral_g645_gate_r090	Han	neutral	0	2026087299	29	unique_exact_focal_site	3	3	4656	291	3	True	True	True	True	
han_introgressed_neutral_g645_gate_r091	Han	neutral	0	2026087337	29	unique_exact_focal_site	7	4	4560	384	6	True	True	True	True	
han_introgressed_neutral_g645_gate_r092	Han	neutral	0	2026087365	29	unique_exact_focal_site	4	3	4656	291	3	True	True	True	True	
han_introgressed_neutral_g645_gate_r093	Han	neutral	0	2026087398	29	unique_exact_focal_site	3	3	4656	291	3	True	True	True	True	
han_introgressed_neutral_g645_gate_r094	Han	neutral	0	2026087440	29	absent_from_sample	0	0	4950	0	0	True	False	False	False	fewer_than_two_alt_haplotypes_in_fixed_pair_panel
han_introgressed_neutral_g645_gate_r095	Han	neutral	0	2026087442	29	absent_from_sample	0	0	4950	0	0	True	False	False	False	fewer_than_two_alt_haplotypes_in_fixed_pair_panel
han_introgressed_neutral_g645_gate_r096	Han	neutral	0	2026087484	29	unique_exact_focal_site	3	3	4656	291	3	True	True	True	True	
han_introgressed_neutral_g645_gate_r097	Han	neutral	0	2026087510	29	unique_exact_focal_site	6	4	4560	384	6	True	True	True	True	
han_introgressed_neutral_g645_gate_r098	Han	neutral	0	2026087551	29	unique_exact_focal_site	1	1	4851	99	0	True	True	False	False	fewer_than_two_alt_haplotypes_in_fixed_pair_panel
han_introgressed_neutral_g645_gate_r099	Han	neutral	0	2026087564	29	unique_exact_focal_site	9	6	4371	564	15	True	True	True	True	
han_selected_s0p01	Han	selected	0.01	20240658	29	unique_exact_focal_site	32	14	3655	1204	91	True	True	True	True	
