# Gamma-SMC explicit haplotype pairs
# genotype_class	heterozygous
# n_pairs	43
0	1
2	3
4	5
6	7
8	9
10	11
16	17
28	29
30	31
38	39
46	47
52	53
56	57
58	59
66	67
76	77
80	81
92	93
98	99
100	101
102	103
108	109
110	111
116	117
118	119
122	123
124	125
132	133
134	135
140	141
144	145
146	147
152	153
154	155
158	159
162	163
166	167
170	171
176	177
180	181
182	183
184	185
186	187
