years,Ne
0.0,37636.76171875
2500.0,37636.76171875
2501.4984130859375,37636.76171875
2502.9977798461914,37636.76171875
2504.4981002807617,37636.76171875
2505.999183654785,37636.76171875
2507.501220703125,37610.013671875
2509.0042114257812,37578.845703125
2510.508155822754,37578.845703125
2512.0128631591797,37578.845703125
2513.518524169922,37609.685546875
2515.0251388549805,37609.685546875
2516.532516479492,37609.685546875
2518.0410385131836,37609.685546875
2519.550323486328,37578.845703125
2521.060371398926,37578.845703125
2522.571563720703,37578.845703125
2524.0835189819336,37578.845703125
2525.5964279174805,37578.845703125
2527.1102905273438,37578.845703125
2528.62491607666,37578.845703125
2530.140495300293,37578.845703125
2531.657028198242,37578.845703125
2533.174514770508,37578.845703125
2534.69295501709,37578.845703125
2536.212158203125,37609.685546875
2537.7323150634766,37609.685546875
2539.2534255981445,37609.685546875
2540.7752990722656,37609.685546875
2542.2983169555664,37609.685546875
2543.8220977783203,37609.685546875
2545.3468322753906,37609.685546875
2546.8725204467773,37609.685546875
2548.398971557617,37609.685546875
2549.9265670776367,37609.685546875
2551.4549255371094,37609.685546875
2552.9842376708984,37622.478515625
2554.514503479004,37622.478515625
2556.0455322265625,37622.478515625
2557.577705383301,37622.478515625
2559.110641479492,37622.478515625
2560.64453125,37622.478515625
2562.179374694824,37653.646484375
2563.7149810791016,37642.943359375
2565.2517318725586,37642.943359375
2566.7892456054688,37642.943359375
2568.3277130126953,37642.943359375
2569.8671340942383,37642.943359375
2571.4075088500977,37642.943359375
2572.9488372802734,37642.943359375
2574.4909286499023,37642.943359375
2576.034164428711,37642.943359375
2577.5781631469727,37642.943359375
2579.123115539551,37642.943359375
2580.6690216064453,37642.943359375
2582.2158813476562,37642.943359375
2583.7635040283203,37642.943359375
2585.312271118164,37642.943359375
2586.861801147461,37642.943359375
2588.412284851074,37642.943359375
2589.963912963867,37642.943359375
2591.5163040161133,37642.943359375
2593.0694580078125,37642.943359375
2594.6237564086914,37642.943359375
2596.1790084838867,37642.943359375
2597.735023498535,37642.943359375
2599.2921829223633,37642.943359375
2600.8501052856445,37642.943359375
2602.408981323242,37642.943359375
2603.9688110351562,37642.943359375
2605.5295944213867,37642.943359375
2607.0913314819336,37642.943359375
2608.654022216797,37642.943359375
2610.2176666259766,37642.943359375
2611.7820739746094,37642.943359375
2613.347625732422,37642.943359375
2614.9139404296875,37642.943359375
2616.481399536133,37642.943359375
2618.0496215820312,37642.943359375
2619.618797302246,37669.69140625
2621.1889266967773,37669.69140625
2622.7602005004883,37669.69140625
2624.3322372436523,37669.69140625
2625.905227661133,37636.046875
2627.4791717529297,37636.046875
2629.0538787841797,37636.046875
2630.6297302246094,37636.046875
2632.2065353393555,37636.046875
2633.784294128418,37636.046875
2635.3628158569336,37636.046875
2636.942481994629,37636.046875
2638.5231018066406,37636.046875
2640.1044845581055,37636.046875
2641.68701171875,37603.013671875
2643.2703018188477,37603.013671875
2644.854736328125,37603.013671875
2646.4399337768555,37603.013671875
2648.0262756347656,37603.013671875
2649.613380432129,37603.013671875
2651.201629638672,37603.013671875
2652.790641784668,37603.013671875
2654.3806076049805,37578.2890625
2655.9717178344727,37578.2890625
2657.563591003418,37578.2890625
2659.156608581543,37578.2890625
2660.750389099121,37578.2890625
2662.345314025879,37578.2890625
2663.94100189209,37578.2890625
2665.537643432617,37578.2890625
2667.135429382324,37578.2890625
2668.7339782714844,37578.2890625
2670.333671569824,37578.2890625
2671.9343185424805,37578.2890625
2673.53572845459,37578.2890625
2675.138282775879,37578.2890625
2676.741600036621,37578.2890625
2678.346061706543,37578.2890625
2679.9514770507812,37603.013671875
2681.557846069336,37603.013671875
2683.1649780273438,37603.013671875
2684.7732543945312,37603.013671875
2686.382484436035,37603.013671875
2687.9926681518555,37603.013671875
2689.603805541992,37603.013671875
2691.2158966064453,37578.2890625
2692.828941345215,37578.2890625
2694.443130493164,37625.34375
2696.0580825805664,37625.34375
2697.673988342285,37625.34375
2699.2910385131836,37625.34375
2700.908851623535,37625.34375
2702.5278091430664,37625.34375
2704.147720336914,37625.34375
2705.768585205078,37636.658203125
2707.3902130126953,37636.658203125
2709.012985229492,37636.658203125
2710.6369018554688,37636.658203125
2712.2615814208984,37636.658203125
2713.8872146606445,37636.658203125
2715.513801574707,37636.658203125
2717.141532897949,37636.658203125
2718.770217895508,37636.658203125
2720.3996658325195,37636.658203125
2722.030258178711,37636.658203125
2723.6618041992188,37636.658203125
2725.294303894043,37636.658203125
2726.927947998047,37636.658203125
2728.562355041504,37636.658203125
2730.1979064941406,37636.658203125
2731.8342208862305,37636.658203125
2733.4716796875,37636.658203125
2735.110092163086,37636.658203125
2736.7494583129883,37636.658203125
2738.389778137207,37636.658203125
2740.0312423706055,37636.658203125
2741.673469543457,37636.658203125
2743.3168411254883,37636.658203125
2744.961166381836,37636.658203125
2746.6064453125,37636.658203125
2748.2526779174805,37636.658203125
2749.9000549316406,37636.658203125
2751.548194885254,37636.658203125
2753.197479248047,37636.658203125
2754.8477172851562,37636.658203125
2756.498908996582,37636.658203125
2758.151054382324,37603.013671875
2759.804344177246,37603.013671875
2761.4585876464844,37603.013671875
2763.113784790039,37603.013671875
2764.76993560791,37603.013671875
2766.4270401000977,37603.013671875
2768.085289001465,37603.013671875
2769.744300842285,37603.013671875
2771.404457092285,37603.013671875
2773.0655670166016,37603.013671875
2774.7278213500977,37603.013671875
2776.390838623047,37603.013671875
2778.055000305176,37603.013671875
2779.720115661621,37589.603515625
2781.386375427246,37589.603515625
2783.053398132324,37589.603515625
2784.721565246582,37589.603515625
2786.3906860351562,37589.603515625
2788.060760498047,37589.603515625
2789.731979370117,37589.603515625
2791.4039611816406,37589.603515625
2793.0770874023438,37589.603515625
2794.7513580322266,37589.603515625
2796.4263916015625,37603.013671875
2798.102569580078,37603.013671875
2799.77970123291,37603.013671875
2801.4577865600586,37603.013671875
2803.1370162963867,37603.013671875
2804.8171997070312,37603.013671875
2806.498336791992,37603.013671875
2808.1804275512695,37603.013671875
2809.8636627197266,37603.013671875
2811.5478515625,37603.013671875
2813.233184814453,37603.013671875
2814.9192810058594,37603.013671875
2816.6065216064453,37603.013671875
2818.2947158813477,37603.013671875
2819.9840545654297,37603.013671875
2821.674346923828,37603.013671875
2823.365592956543,37603.013671875
2825.057792663574,37603.013671875
2826.751136779785,37603.013671875
2828.4454345703125,37603.013671875
2830.1406860351562,37603.013671875
2831.8370819091797,37603.013671875
2833.5344314575195,37603.013671875
2835.232925415039,37603.013671875
2836.9321823120117,37603.013671875
2838.632583618164,37599.611328125
2840.334129333496,37599.611328125
2842.0366287231445,37599.611328125
