cohort,score
Neutral,0.1539
Neutral,0.1539
Neutral,0.154
Neutral,0.1541
Neutral,0.1542
Neutral,0.1543
Neutral,0.1544
Neutral,0.1545
Neutral,0.155
Neutral,0.155
Neutral,0.1551
Neutral,0.1552
Neutral,0.1552
Neutral,0.1553
Neutral,0.1554
Neutral,0.1555
Neutral,0.1556
Neutral,0.1559
Neutral,0.156
Neutral,0.1561
Neutral,0.1563
Neutral,0.1567
Neutral,0.1567
Neutral,0.1569
Neutral,0.1569
Neutral,0.1569
Neutral,0.157
Neutral,0.1571
Neutral,0.1574
Neutral,0.1577
Neutral,0.1578
Neutral,0.1579
Neutral,0.1582
Neutral,0.1583
Neutral,0.1586
Neutral,0.1587
Neutral,0.1589
Neutral,0.159
Neutral,0.1591
Neutral,0.1591
Neutral,0.1592
Neutral,0.1593
Neutral,0.1593
Neutral,0.1595
Neutral,0.1598
Neutral,0.1599
Neutral,0.1602
Neutral,0.1603
Neutral,0.1604
Neutral,0.1607
Neutral,0.161
Neutral,0.1613
Neutral,0.1614
Neutral,0.1618
Neutral,0.1619
Neutral,0.1619
Neutral,0.162
Neutral,0.1621
Neutral,0.1622
Neutral,0.1622
Neutral,0.1624
Neutral,0.1625
Neutral,0.1633
Neutral,0.1633
Neutral,0.1634
Neutral,0.1635
Neutral,0.1641
Neutral,0.1641
Neutral,0.1643
Neutral,0.1643
Neutral,0.1643
Neutral,0.1646
Neutral,0.1647
Neutral,0.165
Neutral,0.165
Neutral,0.1652
Neutral,0.1652
Neutral,0.1652
Neutral,0.1653
Neutral,0.1653
Neutral,0.1656
Neutral,0.1656
Neutral,0.1659
Neutral,0.1661
Neutral,0.1662
Neutral,0.1663
Neutral,0.1664
Neutral,0.1666
Neutral,0.1668
Neutral,0.1672
Neutral,0.1672
Neutral,0.1673
Neutral,0.1676
Neutral,0.1676
Neutral,0.1677
Neutral,0.1678
Neutral,0.1679
Neutral,0.1679
Neutral,0.1682
Neutral,0.1687
Neutral,0.1688
Neutral,0.1689
Neutral,0.1689
Neutral,0.1692
Neutral,0.1692
Neutral,0.1694
Neutral,0.1695
Neutral,0.1701
Neutral,0.1703
Neutral,0.1705
Neutral,0.171
Neutral,0.1715
Neutral,0.1716
Neutral,0.1716
Neutral,0.1719
Neutral,0.1727
Neutral,0.1728
Neutral,0.1731
Neutral,0.1732
Neutral,0.1733
Neutral,0.1733
Neutral,0.1735
Neutral,0.1739
Neutral,0.174
Neutral,0.1741
Neutral,0.1742
Neutral,0.1743
Neutral,0.1744
Neutral,0.175
Neutral,0.175
Neutral,0.1752
Neutral,0.1753
Neutral,0.1753
Neutral,0.1754
Neutral,0.1755
Neutral,0.1757
Neutral,0.1758
Neutral,0.176
Neutral,0.176
Neutral,0.1768
Neutral,0.177
Neutral,0.177
Neutral,0.1772
Neutral,0.1777
Neutral,0.1778
Neutral,0.1779
Neutral,0.1781
Neutral,0.1781
Neutral,0.1782
Neutral,0.1783
Neutral,0.1784
Neutral,0.1784
Neutral,0.1785
Neutral,0.1788
Neutral,0.1791
Neutral,0.1792
Neutral,0.1793
Neutral,0.1794
Neutral,0.1795
Neutral,0.1795
Neutral,0.1795
Neutral,0.1795
Neutral,0.1796
Neutral,0.1797
Neutral,0.1797
Neutral,0.1799
Neutral,0.18
Neutral,0.1801
Neutral,0.1807
Neutral,0.1807
Neutral,0.1809
Neutral,0.181
Neutral,0.1811
Neutral,0.1811
Neutral,0.1812
Neutral,0.1812
Neutral,0.1814
Neutral,0.1815
Neutral,0.1816
Neutral,0.1817
Neutral,0.1818
Neutral,0.182
Neutral,0.1822
Neutral,0.1824
Neutral,0.1827
Neutral,0.1827
Neutral,0.1828
