invocation_index	recorded_at_utc	simulation_contract_sha256	status	elapsed_seconds	declared_timeout_seconds	effective_timeout_seconds	completed_external_sample_panel_draws	interrupted_internal_conditioned_trajectories	error_type	core_source_sha256	orchestrator_source_sha256
1	2026-08-12T10:25:14.385413+00:00	b08558f7c48489fe9c9d96c7cfefee3b9369426173c124ea968f0aa8dd52aab0	timed_out	300.07229270000244	300.0	300.0	0	1	SpecificationTimeout	legacy_unknown	legacy_unknown
2	2026-08-12T12:10:25.622872+00:00	b08558f7c48489fe9c9d96c7cfefee3b9369426173c124ea968f0aa8dd52aab0	timed_out	300.12894130003406	300.0	300.0	0	2	SpecificationTimeout	legacy_unknown	legacy_unknown
3	2026-08-12T21:01:41.954309+00:00	b08558f7c48489fe9c9d96c7cfefee3b9369426173c124ea968f0aa8dd52aab0	timed_out	301.4094867999993	300.0	300.0	0	3	SpecificationTimeout	bef802f46dde46318c03c70629c581475c10437122132714a518c0cd3e29a766	74d4d9cc2b8d7f1b58c80376a79f7e6d9d2396ed96c175caaf659f93068c838c
4	2026-08-12T21:36:34.785156+00:00	b08558f7c48489fe9c9d96c7cfefee3b9369426173c124ea968f0aa8dd52aab0	timed_out	303.0573244999978	300.0	300.0	0	4	SpecificationTimeout	bef802f46dde46318c03c70629c581475c10437122132714a518c0cd3e29a766	74d4d9cc2b8d7f1b58c80376a79f7e6d9d2396ed96c175caaf659f93068c838c
5	2026-08-12T22:11:09.681953+00:00	b08558f7c48489fe9c9d96c7cfefee3b9369426173c124ea968f0aa8dd52aab0	timed_out	302.1781797000003	300.0	300.0	0	5	SpecificationTimeout	bef802f46dde46318c03c70629c581475c10437122132714a518c0cd3e29a766	74d4d9cc2b8d7f1b58c80376a79f7e6d9d2396ed96c175caaf659f93068c838c
6	2026-08-12T22:44:17.518015+00:00	b08558f7c48489fe9c9d96c7cfefee3b9369426173c124ea968f0aa8dd52aab0	timed_out	293.51372860000265	300.0	293.1537749999661	0	6	SpecificationTimeout	bef802f46dde46318c03c70629c581475c10437122132714a518c0cd3e29a766	74d4d9cc2b8d7f1b58c80376a79f7e6d9d2396ed96c175caaf659f93068c838c
7	2026-08-12T22:56:07.112538+00:00	b08558f7c48489fe9c9d96c7cfefee3b9369426173c124ea968f0aa8dd52aab0	exhausted	0.0	300.0	0.0	0	6	CumulativeSpecificationTimeout	bef802f46dde46318c03c70629c581475c10437122132714a518c0cd3e29a766	74d4d9cc2b8d7f1b58c80376a79f7e6d9d2396ed96c175caaf659f93068c838c
