configuration	mutation_rate	pair_class	n_pairs	center_mean_p_recent	center_mean_tmrca_generations_decoded	center_called_fraction_recent_posterior_mean_rule	decode_seconds
low_mu	1.29e-09	hom_ref	949	1.239137756e-05	29043.84143	0.0	7.391635768000015
low_mu	1.29e-09	heterozygous	857	1.874342401e-05	28108.63856	0.0	7.3779147340001145
low_mu	1.29e-09	hom_alt	194	0.00013703929	16718.02666	0.0	7.299966336000125
high_mu	1.25e-08	hom_ref	949	0.01145264265	23288.77802	0.00210748156	10.933107052999958
high_mu	1.25e-08	heterozygous	857	0.01162125344	23497.31107	0.001166861144	10.840843188999997
high_mu	1.25e-08	hom_alt	194	0.6333056934	236.3334248	0.5567010309	9.782797110999809
