attempt	accepted	focal_allele_outcome	population_allele_frequency	sample_allele_frequency	n_hom_ref_pairs	n_heterozygous_pairs	n_hom_alt_pairs	center_fraction_recent	center_n_pairs_recent	center_mean_tmrca_generations	ancestry_seconds	slim_seconds	used_for_rejection_decision
0	False	lost	0.0	0.0	2000	0	0	0.0065	13	17251.88644062426	37.51743639999768	9.248291400028393	True
1	False	lost	0.0	0.0	2000	0	0	0.007	14	12870.672577988507	37.326527299999725	9.36783479998121	True
2	False	lost	0.0	0.0	2000	0	0	0.0065	13	22346.98692232646	33.750411899993196	8.850737700005993	True
3	False	lost	0.0	0.0	2000	0	0	0.0035	7	18512.816229638334	36.09034649998648	8.529483199992683	True
4	False	lost	0.0	0.0	2000	0	0	0.0045	9	18119.02580321288	27.391187299974263	5.66865989996586	True
5	False	lost	0.0	0.0	2000	0	0	0.0065	13	18914.694179501643	37.58418259996688	8.566769399971236	True
6	False	lost	0.0	0.0	2000	0	0	0.009	18	21878.53412383196	35.2425862000091	8.764911799982656	True
7	False	lost	0.0	0.0	2000	0	0	0.006	12	27547.605819992565	27.94521390000591	7.5417935999576	True
8	True	segregating	0.102125	0.10275	1610	369	21	0.0185	37	28686.08640001034	32.78358620003564	8.776381800009403	True
9	False	lost	0.0	0.0	2000	0	0	0.0055	11	20447.570885958245	36.90950270002941	9.452753100020345	False
10	False	lost	0.0	0.0	2000	0	0	0.0045	9	16574.57612138031	35.309702900005504	8.558972399972845	False
11	False	lost	0.0	0.0	2000	0	0	0.0095	19	21902.130032027184	36.928568300034385	8.992835399985779	False
12	False	lost	0.0	0.0	2000	0	0	0.0055	11	17603.028477523076	37.468008499999996	8.403215500002261	False
13	False	lost	0.0	0.0	2000	0	0	0.005	10	14722.598686326754	36.52377420000266	8.271833500009961	False
14	False	lost	0.0	0.0	2000	0	0	0.007	14	18626.583276610385	37.37190669996198	7.817009200050961	False
15	False	lost	0.0	0.0	2000	0	0	0.009	18	18531.15679509909	35.67551630001981	8.773689499998	False
16	False	lost	0.0	0.0	2000	0	0	0.009	18	18507.665230881295	36.70396889996482	8.167101299972273	False
17	False	lost	0.0	0.0	2000	0	0	0.006	12	18386.35299842278	33.13405320001766	8.84117020003032	False
18	False	lost	0.0	0.0	2000	0	0	0.0085	17	14192.607908834458	36.62268500000937	8.445781900023576	False
19	False	lost	0.0	0.0	2000	0	0	0.0075	15	34915.032648388806	35.61470469995402	8.454164499999024	False
