schema	attempt_zero_based	simulation_seed	supervisor_started_unix_ns	supervisor_pid	supervisor_process_identity	timeout_seconds	term_grace_seconds	temp_directory	temp_tree_created	temp_tree_loaded	temp_tree_removed	execution_id	child_pid	child_process_identity	child_identity_observed	child_pgid	child_sid	parent_death_watchdog_armed	engine_wrapper_pid	engine_wrapper_process_identity	sigterm_sent	sigkill_sent	direct_child_reaped	adopted_children_reaped	process_group_gone	supervisor_status	supervisor_elapsed_seconds	lifecycle_phase
gamma-smc.han-direct-production-v3-process-supervisor/v1	0	2101085446	1786658033604809161	431	{'pid': 431, 'boot_id': 'b1241197-5e9c-41f5-a737-6d5f395b103f', 'start_ticks': 312734}	300.0	5.0	.han_v3_attempt_000_seed_2101085446_g7rvjjlu	False	False	True	e53ef4d2ce795388966643502d6b9f578864b5b0966f1e49eb87fabac3b8a215	503	{'pid': 503, 'boot_id': 'b1241197-5e9c-41f5-a737-6d5f395b103f', 'start_ticks': 313642}	True	503	503	True	512	{'pid': 512, 'boot_id': 'b1241197-5e9c-41f5-a737-6d5f395b103f', 'start_ticks': 313649}	True	True	True	2	True	timed_out	305.0163867850001	engine_returned_pending_base_attempt_commit
gamma-smc.han-direct-production-v3-process-supervisor/v1	1	606060283	1786658338906775131	431	{'pid': 431, 'boot_id': 'b1241197-5e9c-41f5-a737-6d5f395b103f', 'start_ticks': 312734}	300.0	5.0	.han_v3_attempt_001_seed_606060283_e8soddat	True	True	True	d4b91cbec9a4b199fb27d520ba630896b64c943a6ca2369bb1d07617ad4337cc	724	{'pid': 724, 'boot_id': 'b1241197-5e9c-41f5-a737-6d5f395b103f', 'start_ticks': 344171}	True	724	724	True	728	{'pid': 728, 'boot_id': 'b1241197-5e9c-41f5-a737-6d5f395b103f', 'start_ticks': 344178}	False	False	True	0	True	complete	297.997684942	engine_returned_pending_base_attempt_commit
gamma-smc.han-direct-production-v3-process-supervisor/v1	2	15900764	1786658639044427959	431	{'pid': 431, 'boot_id': 'b1241197-5e9c-41f5-a737-6d5f395b103f', 'start_ticks': 312734}	300.0	5.0	.han_v3_attempt_002_seed_15900764_fd51nk7_	True	True	True	418596b511a7466212a149b5951ff4348fb9b2a2465b3a78148fe5cf06f7760b	1079	{'pid': 1079, 'boot_id': 'b1241197-5e9c-41f5-a737-6d5f395b103f', 'start_ticks': 374183}	True	1079	1079	True	1080	{'pid': 1080, 'boot_id': 'b1241197-5e9c-41f5-a737-6d5f395b103f', 'start_ticks': 374187}	False	False	True	0	True	complete	188.50613237800007	engine_returned_pending_base_attempt_commit
