arm_id	selection_coefficient	mode	replicate_index	status	elapsed_seconds	error
eas_introgressed_s0p002	0.002	selected	58	completed	66.75012526199862	
eas_introgressed_s0p002	0.002	selected	59	completed	43.54429025900026	
eas_introgressed_s0p002	0.002	selected	60	completed	187.74445743499928	
eas_introgressed_s0p002	0.002	selected	61	completed	136.93725559799896	
eas_introgressed_s0p002	0.002	selected	62	completed	118.51535482600048	
eas_introgressed_s0p002	0.002	selected	63	completed	363.73569352699997	
eas_introgressed_s0p002	0.002	selected	64	completed	120.74532065700078	
eas_introgressed_s0p002	0.002	selected	65	completed	187.1574092640003	
eas_introgressed_s0p002	0.002	selected	66	completed	378.36617359400043	
eas_introgressed_s0p002	0.002	selected	67	completed	207.52642782400108	
eas_introgressed_s0p002	0.002	selected	68	completed	113.91483560400047	
eas_introgressed_s0p002	0.002	selected	69	completed	88.65827325200007	
eas_introgressed_s0p002	0.002	selected	70	completed	160.9783469819995	
eas_introgressed_s0p002	0.002	selected	71	completed	41.804369696999856	
eas_introgressed_s0p002	0.002	selected	72	completed	404.29579757899955	
eas_introgressed_s0p002	0.002	selected	73	completed	112.32657904100051	
eas_introgressed_s0p002	0.002	selected	74	completed	45.90083747999961	
eas_introgressed_s0p002	0.002	selected	75	completed	42.4518356869994	
eas_introgressed_s0p002	0.002	selected	76	completed	261.53727609400084	
eas_introgressed_s0p002	0.002	selected	77	completed	70.81460879299993	
eas_introgressed_s0p002	0.002	selected	78	completed	235.73084429799928	
eas_introgressed_s0p002	0.002	selected	79	completed	91.0247533870006	
eas_introgressed_s0p003	0.003	selected	0	completed	166.78202840599988	
eas_introgressed_s0p003	0.003	selected	1	completed	115.23636815600003	
eas_introgressed_s0p003	0.003	selected	2	completed	167.97684583299997	
eas_introgressed_s0p003	0.003	selected	3	completed	118.26980504699895	
eas_introgressed_s0p003	0.003	selected	4	completed	206.76520545300082	
eas_introgressed_s0p003	0.003	selected	5	completed	256.79035571500026	
eas_introgressed_s0p003	0.003	selected	6	completed	67.41333816000042	
eas_introgressed_s0p003	0.003	selected	7	completed	42.439703812000516	
eas_introgressed_s0p003	0.003	selected	8	completed	67.73113086299963	
eas_introgressed_s0p003	0.003	selected	9	completed	452.80146447399966	
eas_introgressed_s0p003	0.003	selected	10	completed	136.31158919799964	
eas_introgressed_s0p003	0.003	selected	11	completed	44.119093659999635	
eas_introgressed_s0p003	0.003	selected	12	completed	72.45959738000056	
eas_introgressed_s0p003	0.003	selected	13	completed	134.0774741289988	
eas_introgressed_s0p003	0.003	selected	14	completed	90.08089232299972	
eas_introgressed_s0p003	0.003	selected	15	completed	43.118108646998735	
eas_introgressed_s0p003	0.003	selected	16	completed	68.1768574130001	
eas_introgressed_s0p003	0.003	selected	17	completed	94.1324512680003	
eas_introgressed_s0p003	0.003	selected	18	completed	63.72137282699987	
eas_introgressed_s0p003	0.003	selected	19	completed	43.5054153330002	
eas_introgressed_s0p003	0.003	selected	20	completed	63.902694469999915	
eas_introgressed_s0p003	0.003	selected	21	completed	43.179630229000395	
eas_introgressed_s0p003	0.003	selected	22	completed	260.97022876699884	
eas_introgressed_s0p003	0.003	selected	23	completed	86.63645722500041	
eas_introgressed_s0p003	0.003	selected	24	completed	43.56057706499996	
eas_introgressed_s0p003	0.003	selected	25	completed	111.2898040050004	
eas_introgressed_s0p003	0.003	selected	26	completed	43.50002056499943	
eas_introgressed_s0p003	0.003	selected	27	completed	69.69392986099956	
eas_introgressed_s0p003	0.003	selected	28	completed	113.37317349700061	
eas_introgressed_s0p003	0.003	selected	29	completed	43.387729338999634	
eas_introgressed_s0p003	0.003	selected	30	completed	70.71509100799994	
eas_introgressed_s0p003	0.003	selected	31	completed	180.6953814619992	
eas_introgressed_s0p003	0.003	selected	32	completed	83.27811575399937	
eas_introgressed_s0p003	0.003	selected	33	completed	136.7956518560004	
eas_introgressed_s0p003	0.003	selected	34	completed	43.01582246700127	
eas_introgressed_s0p003	0.003	selected	35	completed	157.84284676199968	
eas_introgressed_s0p003	0.003	selected	36	completed	67.94016729500072	
eas_introgressed_s0p003	0.003	selected	37	completed	41.10990080100055	
eas_introgressed_s0p003	0.003	selected	38	completed	43.980431941999996	
eas_introgressed_s0p003	0.003	selected	39	completed	91.103996378999	
eas_introgressed_s0p003	0.003	selected	40	completed	156.3421274150005	
eas_introgressed_s0p003	0.003	selected	41	completed	94.80829202800123	
eas_introgressed_s0p003	0.003	selected	42	completed	93.4714022850003	
eas_introgressed_s0p003	0.003	selected	43	completed	90.5578867180011	
eas_introgressed_s0p003	0.003	selected	44	completed	211.4511495730003	
eas_introgressed_s0p003	0.003	selected	45	completed	69.3124309119994	
eas_introgressed_s0p003	0.003	selected	46	completed	68.30622271900029	
eas_introgressed_s0p003	0.003	selected	47	completed	190.64844611800072	
eas_introgressed_s0p003	0.003	selected	48	completed	67.10582031800004	
eas_introgressed_s0p003	0.003	selected	49	completed	366.334576235	
eas_introgressed_s0p003	0.003	selected	50	completed	163.89798315900043	
eas_introgressed_s0p003	0.003	selected	51	completed	43.446752419000404	
eas_introgressed_s0p003	0.003	selected	52	completed	149.79648471700057	
eas_introgressed_s0p003	0.003	selected	53	completed	47.04676212499908	
eas_introgressed_s0p003	0.003	selected	54	completed	116.67792806500074	
eas_introgressed_s0p003	0.003	selected	55	completed	93.77634289100024	
eas_introgressed_s0p003	0.003	selected	56	completed	89.85080659800042	
eas_introgressed_s0p003	0.003	selected	57	completed	46.92128428400065	
eas_introgressed_s0p003	0.003	selected	58	completed	45.148737494999295	
eas_introgressed_s0p003	0.003	selected	59	completed	40.123847302000286	
eas_introgressed_s0p003	0.003	selected	60	completed	41.918669691000105	
