attempt_zero_based	seed	status	timeout_seconds	candidate_pool_alt_count	candidate_pool_af	candidate_pool_minimum_alt_count	candidate_pool_maximum_alt_count	candidate_pool_frequency_gate_passed	eligible_genotype_count_triples	sample_alt_count	sample_af	n_hom_ref	n_heterozygous	n_hom_alt	elapsed_seconds	accepted	rejection_reason	planned_simulation_seed	panel_seed	panel_seed_used	supervisor_schema	supervisor_execution_id	supervisor_status	supervisor_pid	supervisor_process_identity	supervisor_started_unix_ns	child_pid	child_pgid	child_sid	child_process_identity	child_identity_observed	engine_wrapper_pid	engine_wrapper_process_identity	parent_death_watchdog_armed	supervisor_timeout_seconds	supervisor_term_grace_seconds	supervisor_sigterm_sent	supervisor_sigkill_sent	direct_child_reaped	adopted_children_reaped	process_group_gone	attempt_temp_directory	attempt_temp_tree_created	attempt_temp_tree_loaded	attempt_temp_tree_removed	supervisor_elapsed_seconds	attempt_ledger_schema	seed_plan_sha256
0	1214671355	complete	300.0	157	0.157	275	325	False	0						257.2892502159998	False	candidate_pool_af_outside_prespecified_band	1214671355	2009984387	False	gamma-smc.han-direct-production-v3-process-supervisor/v1	018f7f21eb7f8c898c8078bb3b7a6e28b363c7d113863d0a2680fee1e41b69d7	complete	444	{'pid': 444, 'boot_id': 'b1241197-5e9c-41f5-a737-6d5f395b103f', 'start_ticks': 312743}	1786658033715804423	523	523	523	{'pid': 523, 'boot_id': 'b1241197-5e9c-41f5-a737-6d5f395b103f', 'start_ticks': 313652}	True	532	{'pid': 532, 'boot_id': 'b1241197-5e9c-41f5-a737-6d5f395b103f', 'start_ticks': 313660}	True	300.0	5.0	False	False	True	0	True	.han_v3_attempt_000_seed_1214671355_99c6croo	True	True	True	255.37571980699977	gamma-smc.han-direct-production-v3-attempt-ledger/v1	04017a12d2a39709777be7fc9767fcf6834bf714519296bf3a7f0878e536f376
1	291306398	complete	300.0	809	0.809	275	325	False	0						257.9919835280002	False	candidate_pool_af_outside_prespecified_band	291306398	742374839	False	gamma-smc.han-direct-production-v3-process-supervisor/v1	c852442535a76134b24fa227f113fb073c9e970bf5dd7266d496fa60728ee9a5	complete	444	{'pid': 444, 'boot_id': 'b1241197-5e9c-41f5-a737-6d5f395b103f', 'start_ticks': 312743}	1786658291194595540	693	693	693	{'pid': 693, 'boot_id': 'b1241197-5e9c-41f5-a737-6d5f395b103f', 'start_ticks': 339400}	True	694	{'pid': 694, 'boot_id': 'b1241197-5e9c-41f5-a737-6d5f395b103f', 'start_ticks': 339407}	True	300.0	5.0	False	False	True	0	True	.han_v3_attempt_001_seed_291306398_34sgsxba	True	True	True	256.1235147280004	gamma-smc.han-direct-production-v3-attempt-ledger/v1	04017a12d2a39709777be7fc9767fcf6834bf714519296bf3a7f0878e536f376
2	1091255235	complete	300.0	691	0.691	275	325	False	0						179.44460731299978	False	candidate_pool_af_outside_prespecified_band	1091255235	739075277	False	gamma-smc.han-direct-production-v3-process-supervisor/v1	c604408a33b9d3ac06245e76bab0e460385d8c9f81bf8786d104b17d75f31c8e	complete	444	{'pid': 444, 'boot_id': 'b1241197-5e9c-41f5-a737-6d5f395b103f', 'start_ticks': 312743}	1786658549509608316	921	921	921	{'pid': 921, 'boot_id': 'b1241197-5e9c-41f5-a737-6d5f395b103f', 'start_ticks': 365233}	True	922	{'pid': 922, 'boot_id': 'b1241197-5e9c-41f5-a737-6d5f395b103f', 'start_ticks': 365242}	True	300.0	5.0	False	False	True	0	True	.han_v3_attempt_002_seed_1091255235_1erp6xqx	True	True	True	177.8178382230003	gamma-smc.han-direct-production-v3-attempt-ledger/v1	04017a12d2a39709777be7fc9767fcf6834bf714519296bf3a7f0878e536f376
