# Gamma-SMC explicit haplotype pairs
# genotype_class	hom_ref
# n_pairs	26
4	5
10	11
30	31
32	33
44	45
48	49
56	57
58	59
74	75
82	83
84	85
90	91
94	95
104	105
106	107
118	119
122	123
142	143
144	145
154	155
162	163
170	171
174	175
184	185
186	187
188	189
