# Gamma-SMC explicit haplotype pairs
# genotype_class	heterozygous
# n_pairs	54
0	1
2	3
8	9
12	13
14	15
16	17
20	21
26	27
36	37
38	39
42	43
46	47
50	51
52	53
60	61
62	63
66	67
68	69
72	73
76	77
78	79
80	81
86	87
88	89
96	97
100	101
102	103
108	109
110	111
112	113
114	115
120	121
126	127
128	129
130	131
132	133
134	135
136	137
138	139
140	141
146	147
148	149
150	151
152	153
160	161
164	165
166	167
168	169
172	173
176	177
182	183
190	191
192	193
194	195
