invocation_index	recorded_at_utc	simulation_contract_sha256	status	elapsed_seconds	declared_timeout_seconds	effective_timeout_seconds	completed_external_sample_panel_draws	interrupted_internal_conditioned_trajectories	error_type	core_source_sha256	orchestrator_source_sha256
1	2026-08-12T10:44:20.963970+00:00	82fd56a5d3fe35fbd6ebbb23482c3ff73a8182e1ecdfad036678ced1d5c8b062	timed_out	300.2222844000207	300.0	300.0	0	1	SpecificationTimeout	legacy_unknown	legacy_unknown
2	2026-08-12T12:26:14.173808+00:00	82fd56a5d3fe35fbd6ebbb23482c3ff73a8182e1ecdfad036678ced1d5c8b062	timed_out	300.1302010999643	300.0	300.0	0	2	SpecificationTimeout	legacy_unknown	legacy_unknown
3	2026-08-12T21:07:08.803792+00:00	82fd56a5d3fe35fbd6ebbb23482c3ff73a8182e1ecdfad036678ced1d5c8b062	timed_out	300.1429838000004	300.0	300.0	0	3	SpecificationTimeout	bef802f46dde46318c03c70629c581475c10437122132714a518c0cd3e29a766	74d4d9cc2b8d7f1b58c80376a79f7e6d9d2396ed96c175caaf659f93068c838c
4	2026-08-12T21:42:02.370490+00:00	82fd56a5d3fe35fbd6ebbb23482c3ff73a8182e1ecdfad036678ced1d5c8b062	timed_out	300.1016146000002	300.0	300.0	0	4	SpecificationTimeout	bef802f46dde46318c03c70629c581475c10437122132714a518c0cd3e29a766	74d4d9cc2b8d7f1b58c80376a79f7e6d9d2396ed96c175caaf659f93068c838c
5	2026-08-12T22:16:30.047599+00:00	82fd56a5d3fe35fbd6ebbb23482c3ff73a8182e1ecdfad036678ced1d5c8b062	timed_out	301.08123190000333	300.0	300.0	0	5	SpecificationTimeout	bef802f46dde46318c03c70629c581475c10437122132714a518c0cd3e29a766	74d4d9cc2b8d7f1b58c80376a79f7e6d9d2396ed96c175caaf659f93068c838c
6	2026-08-12T22:49:34.532191+00:00	82fd56a5d3fe35fbd6ebbb23482c3ff73a8182e1ecdfad036678ced1d5c8b062	timed_out	298.3446249999979	300.0	298.3216842000111	0	6	SpecificationTimeout	bef802f46dde46318c03c70629c581475c10437122132714a518c0cd3e29a766	74d4d9cc2b8d7f1b58c80376a79f7e6d9d2396ed96c175caaf659f93068c838c
7	2026-08-12T22:56:09.391195+00:00	82fd56a5d3fe35fbd6ebbb23482c3ff73a8182e1ecdfad036678ced1d5c8b062	exhausted	0.0	300.0	0.0	0	6	CumulativeSpecificationTimeout	bef802f46dde46318c03c70629c581475c10437122132714a518c0cd3e29a766	74d4d9cc2b8d7f1b58c80376a79f7e6d9d2396ed96c175caaf659f93068c838c
