cell_id	demography_id	sample_population	birth_population	selection_population	selection_coefficient	dominance_coefficient	mutation_birth_generations_ago	selection_onset_generations_ago	selection_onset_kya	source_generation_time_years	initial_af_timing_assumption	deterministic_present_af_from_gate_center	target_bridge_duration_generations	present_af_target	present_af_lower	present_af_upper	archaic_migration_end_generations_ago	archaic_migration_start_generations_ago	archaic_migration_rate_per_generation	introgression_ancestry_fraction	introgressed_allele_af_target	introgressed_allele_af_lower	introgressed_allele_af_upper	introgression_enforcement	seed	native_cosi2_status
eas_s0p01	eas_phlash_median	EAS	EAS	EAS	0.01	0.5	1475	1475	36.875	25.0	0.00015639662183296842	0.2	1475	0.2	0.195	0.20500000000000002								not_applicable	20240524	native_endpoint_conditioned
han_introgressed_s0p01	out_of_africa_archaic_admixture_5r19_chb	Han	Neanderthal	CHB	0.01	0.5	2400	645	18.705	29.0	0.012	0.23401523723581902	605	0.2	0.195	0.20500000000000002	645.0	2093.0	8.25e-06	0.012	0.012	0.011	0.013000000000000001	posthoc_COSI_SAVE_TRAJ_CHB_AF_gate_at_migration_end	20240624	native_donor_origin_continuous_migration_and_endpoint; migration_end_AF_requires_gate
