time_generations	time_years	raw_median_ne	cosi2_integer_ne
0.0	0.0	37636.76171875	37637
100.0	2500.0	37636.76171875	37637
100.0599365234375	2501.4984130859375	37636.76171875	37637
100.11991119384766	2502.9977798461914	37636.76171875	37637
100.17992401123047	2504.4981002807617	37636.76171875	37637
100.2399673461914	2505.999183654785	37636.76171875	37637
100.300048828125	2507.501220703125	37610.013671875	37610
100.36016845703125	2509.0042114257812	37578.845703125	37579
100.42032623291016	2510.508155822754	37578.845703125	37579
100.48051452636719	2512.0128631591797	37578.845703125	37579
100.54074096679688	2513.518524169922	37609.685546875	37610
100.60100555419922	2515.0251388549805	37609.685546875	37610
100.66130065917969	2516.532516479492	37609.685546875	37610
100.72164154052734	2518.0410385131836	37609.685546875	37610
100.78201293945312	2519.550323486328	37578.845703125	37579
100.84241485595703	2521.060371398926	37578.845703125	37579
100.90286254882812	2522.571563720703	37578.845703125	37579
100.96334075927734	2524.0835189819336	37578.845703125	37579
101.02385711669922	2525.5964279174805	37578.845703125	37579
101.08441162109375	2527.1102905273438	37578.845703125	37579
101.1449966430664	2528.62491607666	37578.845703125	37579
101.20561981201172	2530.140495300293	37578.845703125	37579
101.26628112792969	2531.657028198242	37578.845703125	37579
101.32698059082031	2533.174514770508	37578.845703125	37579
101.3877182006836	2534.69295501709	37578.845703125	37579
101.448486328125	2536.212158203125	37609.685546875	37610
101.50929260253906	2537.7323150634766	37609.685546875	37610
101.57013702392578	2539.2534255981445	37609.685546875	37610
101.63101196289062	2540.7752990722656	37609.685546875	37610
101.69193267822266	2542.2983169555664	37609.685546875	37610
101.75288391113281	2543.8220977783203	37609.685546875	37610
101.81387329101562	2545.3468322753906	37609.685546875	37610
101.8749008178711	2546.8725204467773	37609.685546875	37610
101.93595886230469	2548.398971557617	37609.685546875	37610
101.99706268310547	2549.9265670776367	37609.685546875	37610
102.05819702148438	2551.4549255371094	37609.685546875	37610
102.11936950683594	2552.9842376708984	37622.478515625	37622
102.18058013916016	2554.514503479004	37622.478515625	37622
102.2418212890625	2556.0455322265625	37622.478515625	37622
102.30310821533203	2557.577705383301	37622.478515625	37622
102.36442565917969	2559.110641479492	37622.478515625	37622
102.42578125	2560.64453125	37622.478515625	37622
102.48717498779297	2562.179374694824	37653.646484375	37654
102.54859924316406	2563.7149810791016	37642.943359375	37643
102.61006927490234	2565.2517318725586	37642.943359375	37643
102.67156982421875	2566.7892456054688	37642.943359375	37643
102.73310852050781	2568.3277130126953	37642.943359375	37643
102.79468536376953	2569.8671340942383	37642.943359375	37643
102.8563003540039	2571.4075088500977	37642.943359375	37643
102.91795349121094	2572.9488372802734	37642.943359375	37643
102.9796371459961	2574.4909286499023	37642.943359375	37643
103.04136657714844	2576.034164428711	37642.943359375	37643
103.1031265258789	2577.5781631469727	37642.943359375	37643
103.16492462158203	2579.123115539551	37642.943359375	37643
103.22676086425781	2580.6690216064453	37642.943359375	37643
103.28863525390625	2582.2158813476562	37642.943359375	37643
103.35054016113281	2583.7635040283203	37642.943359375	37643
103.41249084472656	2585.312271118164	37642.943359375	37643
103.47447204589844	2586.861801147461	37642.943359375	37643
103.53649139404297	2588.412284851074	37642.943359375	37643
103.59855651855469	2589.963912963867	37642.943359375	37643
103.66065216064453	2591.5163040161133	37642.943359375	37643
103.7227783203125	2593.0694580078125	37642.943359375	37643
103.78495025634766	2594.6237564086914	37642.943359375	37643
103.84716033935547	2596.1790084838867	37642.943359375	37643
103.9094009399414	2597.735023498535	37642.943359375	37643
103.97168731689453	2599.2921829223633	37642.943359375	37643
104.03400421142578	2600.8501052856445	37642.943359375	37643
104.09635925292969	2602.408981323242	37642.943359375	37643
104.15875244140625	2603.9688110351562	37642.943359375	37643
104.22118377685547	2605.5295944213867	37642.943359375	37643
104.28365325927734	2607.0913314819336	37642.943359375	37643
104.34616088867188	2608.654022216797	37642.943359375	37643
104.40870666503906	2610.2176666259766	37642.943359375	37643
104.47128295898438	2611.7820739746094	37642.943359375	37643
104.53390502929688	2613.347625732422	37642.943359375	37643
104.5965576171875	2614.9139404296875	37642.943359375	37643
104.65925598144531	2616.481399536133	37642.943359375	37643
104.72198486328125	2618.0496215820312	37642.943359375	37643
104.78475189208984	2619.618797302246	37669.69140625	37670
104.8475570678711	2621.1889266967773	37669.69140625	37670
104.91040802001953	2622.7602005004883	37669.69140625	37670
104.9732894897461	2624.3322372436523	37669.69140625	37670
105.03620910644531	2625.905227661133	37636.046875	37636
105.09916687011719	2627.4791717529297	37636.046875	37636
105.16215515136719	2629.0538787841797	37636.046875	37636
105.22518920898438	2630.6297302246094	37636.046875	37636
105.28826141357422	2632.2065353393555	37636.046875	37636
105.35137176513672	2633.784294128418	37636.046875	37636
105.41451263427734	2635.3628158569336	37636.046875	37636
105.47769927978516	2636.942481994629	37636.046875	37636
105.54092407226562	2638.5231018066406	37636.046875	37636
105.60417938232422	2640.1044845581055	37636.046875	37636
105.66748046875	2641.68701171875	37603.013671875	37603
105.7308120727539	2643.2703018188477	37603.013671875	37603
105.794189453125	2644.854736328125	37603.013671875	37603
105.85759735107422	2646.4399337768555	37603.013671875	37603
105.92105102539062	2648.0262756347656	37603.013671875	37603
105.98453521728516	2649.613380432129	37603.013671875	37603
106.04806518554688	2651.201629638672	37603.013671875	37603
106.11162567138672	2652.790641784668	37603.013671875	37603
106.17522430419922	2654.3806076049805	37578.2890625	37578
106.2388687133789	2655.9717178344727	37578.2890625	37578
106.30254364013672	2657.563591003418	37578.2890625	37578
106.36626434326172	2659.156608581543	37578.2890625	37578
106.43001556396484	2660.750389099121	37578.2890625	37578
106.49381256103516	2662.345314025879	37578.2890625	37578
106.5576400756836	2663.94100189209	37578.2890625	37578
106.62150573730469	2665.537643432617	37578.2890625	37578
106.68541717529297	2667.135429382324	37578.2890625	37578
106.74935913085938	2668.7339782714844	37578.2890625	37578
106.81334686279297	2670.333671569824	37578.2890625	37578
106.87737274169922	2671.9343185424805	37578.2890625	37578
106.9414291381836	2673.53572845459	37578.2890625	37578
107.00553131103516	2675.138282775879	37578.2890625	37578
107.06966400146484	2676.741600036621	37578.2890625	37578
107.13384246826172	2678.346061706543	37578.2890625	37578
107.19805908203125	2679.9514770507812	37603.013671875	37603
107.26231384277344	2681.557846069336	37603.013671875	37603
107.32659912109375	2683.1649780273438	37603.013671875	37603
107.39093017578125	2684.7732543945312	37603.013671875	37603
107.4552993774414	2686.382484436035	37603.013671875	37603
107.51970672607422	2687.9926681518555	37603.013671875	37603
107.58415222167969	2689.603805541992	37603.013671875	37603
107.64863586425781	2691.2158966064453	37578.2890625	37578
107.7131576538086	2692.828941345215	37578.2890625	37578
107.77772521972656	2694.443130493164	37625.34375	37625
107.84232330322266	2696.0580825805664	37625.34375	37625
107.9069595336914	2697.673988342285	37625.34375	37625
107.97164154052734	2699.2910385131836	37625.34375	37625
108.0363540649414	2700.908851623535	37625.34375	37625
108.10111236572266	2702.5278091430664	37625.34375	37625
108.16590881347656	2704.147720336914	37625.34375	37625
108.23074340820312	2705.768585205078	37636.658203125	37637
108.29560852050781	2707.3902130126953	37636.658203125	37637
108.36051940917969	2709.012985229492	37636.658203125	37637
108.42547607421875	2710.6369018554688	37636.658203125	37637
108.49046325683594	2712.2615814208984	37636.658203125	37637
108.55548858642578	2713.8872146606445	37636.658203125	37637
108.62055206298828	2715.513801574707	37636.658203125	37637
108.68566131591797	2717.141532897949	37636.658203125	37637
108.75080871582031	2718.770217895508	37636.658203125	37637
108.81598663330078	2720.3996658325195	37636.658203125	37637
108.88121032714844	2722.030258178711	37636.658203125	37637
108.94647216796875	2723.6618041992188	37636.658203125	37637
109.01177215576172	2725.294303894043	37636.658203125	37637
109.07711791992188	2726.927947998047	37636.658203125	37637
109.14249420166016	2728.562355041504	37636.658203125	37637
109.20791625976562	2730.1979064941406	37636.658203125	37637
109.27336883544922	2731.8342208862305	37636.658203125	37637
109.3388671875	2733.4716796875	37636.658203125	37637
109.40440368652344	2735.110092163086	37636.658203125	37637
109.46997833251953	2736.7494583129883	37636.658203125	37637
109.53559112548828	2738.389778137207	37636.658203125	37637
109.60124969482422	2740.0312423706055	37636.658203125	37637
109.66693878173828	2741.673469543457	37636.658203125	37637
109.73267364501953	2743.3168411254883	37636.658203125	37637
109.79844665527344	2744.961166381836	37636.658203125	37637
109.8642578125	2746.6064453125	37636.658203125	37637
109.93010711669922	2748.2526779174805	37636.658203125	37637
109.99600219726562	2749.9000549316406	37636.658203125	37637
110.06192779541016	2751.548194885254	37636.658203125	37637
110.12789916992188	2753.197479248047	37636.658203125	37637
110.19390869140625	2754.8477172851562	37636.658203125	37637
