demography_id	selection_coefficient	time_variable	time_generations	time_kya	initial_af_assumption	deterministic_final_af
eas_phlash_median	0.01	mutation_birth_and_selection_onset_generations_ago	171	4.275	1.3609515773428781e-05	3.200047818324557e-05
eas_phlash_median	0.01	mutation_birth_and_selection_onset_generations_ago	181	4.525	1.370952263442187e-05	3.38883228010381e-05
eas_phlash_median	0.01	mutation_birth_and_selection_onset_generations_ago	191	4.775	1.391130154137221e-05	3.6150086122645756e-05
eas_phlash_median	0.01	mutation_birth_and_selection_onset_generations_ago	201	5.025	1.4183190083113495e-05	3.874620837922788e-05
eas_phlash_median	0.01	mutation_birth_and_selection_onset_generations_ago	211	5.275	1.4423770373575652e-05	4.142359166258424e-05
eas_phlash_median	0.01	mutation_birth_and_selection_onset_generations_ago	221	5.525	1.4627153848404178e-05	4.416135648004842e-05
eas_phlash_median	0.01	mutation_birth_and_selection_onset_generations_ago	231	5.775	1.4824478178368122e-05	4.705172447190404e-05
eas_phlash_median	0.01	mutation_birth_and_selection_onset_generations_ago	241	6.025	1.4985763524651581e-05	5.0002131502063585e-05
eas_phlash_median	0.01	mutation_birth_and_selection_onset_generations_ago	251	6.275	1.5355322154658806e-05	5.386191415403467e-05
eas_phlash_median	0.01	mutation_birth_and_selection_onset_generations_ago	261	6.525	1.5664160401002506e-05	5.7762121664796205e-05
eas_phlash_median	0.01	mutation_birth_and_selection_onset_generations_ago	271	6.775	1.588915723910004e-05	6.159564892391093e-05
eas_phlash_median	0.01	mutation_birth_and_selection_onset_generations_ago	281	7.025	1.61765181662299e-05	6.592455253394313e-05
eas_phlash_median	0.01	mutation_birth_and_selection_onset_generations_ago	291	7.275	1.66616681662168e-05	7.138273534919747e-05
eas_phlash_median	0.01	mutation_birth_and_selection_onset_generations_ago	301	7.525	1.7172688556120345e-05	7.734377328315282e-05
eas_phlash_median	0.01	mutation_birth_and_selection_onset_generations_ago	311	7.775	1.8046632498375804e-05	8.544660677632707e-05
eas_phlash_median	0.01	mutation_birth_and_selection_onset_generations_ago	321	8.025	1.96347928529354e-05	9.773160887729875e-05
eas_phlash_median	0.01	mutation_birth_and_selection_onset_generations_ago	331	8.275	2.3004370830457787e-05	0.00012037198937029366
eas_phlash_median	0.01	mutation_birth_and_selection_onset_generations_ago	341	8.525	2.8154738442479868e-05	0.00015487044697339993
eas_phlash_median	0.01	mutation_birth_and_selection_onset_generations_ago	351	8.775	3.264133698916308e-05	0.00018874999563312363
eas_phlash_median	0.01	mutation_birth_and_selection_onset_generations_ago	361	9.025	3.683783982907242e-05	0.00022393110899875443
eas_phlash_median	0.01	mutation_birth_and_selection_onset_generations_ago	371	9.275	4.116581590647127e-05	0.00026306108614453056
eas_phlash_median	0.01	mutation_birth_and_selection_onset_generations_ago	381	9.525	4.52980612429788e-05	0.00030429730147344753
eas_phlash_median	0.01	mutation_birth_and_selection_onset_generations_ago	391	9.775	4.851072086931212e-05	0.0003425750303898996
eas_phlash_median	0.01	mutation_birth_and_selection_onset_generations_ago	401	10.025	5.252100840336135e-05	0.00038989434869030043
eas_phlash_median	0.01	mutation_birth_and_selection_onset_generations_ago	411	10.275	5.6280954524988743e-05	0.0004392080287478526
eas_phlash_median	0.01	mutation_birth_and_selection_onset_generations_ago	421	10.525	5.992329817833173e-05	0.0004915843786158446
eas_phlash_median	0.01	mutation_birth_and_selection_onset_generations_ago	431	10.775	6.358896095637798e-05	0.0005483725838180229
eas_phlash_median	0.01	mutation_birth_and_selection_onset_generations_ago	441	11.025	6.658676255160474e-05	0.0006036343113003885
eas_phlash_median	0.01	mutation_birth_and_selection_onset_generations_ago	451	11.275	6.883259911894274e-05	0.0006559536449194324
