arm_id	mode	estimator	threshold_years	n	truth_mean	decoded_mean	bias	rmse	pearson_r
chb_ooa_archaic	neutral	gamma_smc_frac	1000.0	100	0.0003	0.0006999999999999999	0.0003999999999999999	0.002	0.6410135567759414
chb_ooa_archaic	neutral	gamma_smc_frac	4500.0	100	0.0016	0.006500000000000001	0.004900000000000001	0.00888819441731559	0.3984987933921102
chb_ooa_archaic	neutral	gamma_smc_frac	10000.0	100	0.0055000000000000005	0.053200000000000004	0.047700000000000006	0.05712267500739089	0.15511798058924633
chb_ooa_archaic	neutral	gamma_smc_frac	20000.0	100	0.022199999999999998	0.18360000000000004	0.16140000000000004	0.17999444435870793	0.1870508972247595
chb_ooa_archaic	neutral	gamma_smc_frac	30000.0	100	0.0767	0.2775	0.20080000000000003	0.22929020912372164	0.39493927442986654
chb_ooa_archaic	neutral	gamma_smc_frac	40000.0	100	0.20149999999999998	0.33809999999999996	0.13659999999999997	0.18186258548695497	0.517346598418596
chb_ooa_archaic	neutral	gamma_smc_frac	50000.0	100	0.2944	0.382	0.08760000000000001	0.14458215657542253	0.6644088096245134
chb_ooa_archaic	neutral	gamma_smc_frac	75000.0	100	0.37860000000000016	0.47130000000000005	0.0926999999999999	0.1392443894740467	0.7966743998686602
chb_ooa_archaic	neutral	gamma_smc_frac	100000.0	100	0.40010000000000007	0.5395	0.1393999999999999	0.18918773744616746	0.7293678779707425
chb_ooa_archaic	neutral	gamma_smc_frac	150000.0	100	0.4302000000000001	0.6726000000000002	0.24240000000000012	0.2991855611489298	0.5093816856178585
chb_ooa_archaic	neutral	gamma_smc_frac	200000.0	100	0.4686	0.7536	0.28500000000000003	0.3447665877082639	0.42209310633521585
chb_ooa_archaic	selected	gamma_smc_frac	1000.0	100	0.0002	0.0005	0.00030000000000000003	0.0017320508075688774	0.622699849077239
chb_ooa_archaic	selected	gamma_smc_frac	4500.0	100	0.0017000000000000001	0.0082	0.006500000000000001	0.011	0.5005498569876294
chb_ooa_archaic	selected	gamma_smc_frac	10000.0	100	0.0055000000000000005	0.0704	0.0649	0.08594765849050223	0.2547100039686115
