arm_id	estimator	threshold_years	n_selected	n_null	auc	power_at_alpha	median_p_value	auc_af_lt_0p4	n_af_lt_0p4	auc_af_0p4_0p7	n_af_0p4_0p7	auc_af_ge_0p7	n_af_ge_0p7
chb_from_introgression	gamma_smc_frac	1000.0	100	100	0.5055999999999997	0.02	1.0	0.5325	8	0.5195121951219511	41	0.4901960784313724	51
chb_from_introgression	gamma_smc_frac	4500.0	100	100	0.7081000000000001	0.21	0.48514851485148514	0.538125	8	0.6946341463414635	41	0.7455882352941178	51
chb_from_introgression	gamma_smc_frac	10000.0	100	100	0.8534999999999999	0.49	0.0594059405940594	0.5493750000000001	8	0.7863414634146342	41	0.9551960784313724	51
chb_from_introgression	gamma_smc_frac	20000.0	100	100	0.8318499999999999	0.48	0.0594059405940594	0.528125	8	0.7148780487804878	41	0.9735294117647059	51
chb_from_introgression	gamma_smc_frac	30000.0	100	100	0.8006500000000001	0.4	0.07920792079207921	0.5643750000000001	8	0.6315853658536585	41	0.9736274509803922	51
chb_from_introgression	gamma_smc_frac	40000.0	100	100	0.7720999999999999	0.4	0.10396039603960397	0.51875	8	0.5736585365853658	41	0.9713725490196078	51
chb_from_introgression	gamma_smc_frac	50000.0	100	100	0.7509999999999999	0.36	0.12871287128712872	0.49624999999999997	8	0.5315853658536585	41	0.9673529411764706	51
chb_from_introgression	gamma_smc_meanp	1000.0	100	100	0.8192000000000002	0.58	0.0297029702970297	0.47250000000000003	8	0.6990243902439024	41	0.9701960784313727	51
chb_from_introgression	gamma_smc_meanp	4500.0	100	100	0.816	0.51	0.0297029702970297	0.47750000000000004	8	0.6792682926829269	41	0.9790196078431372	51
chb_from_introgression	gamma_smc_meanp	10000.0	100	100	0.7984	0.49	0.08415841584158415	0.47250000000000003	8	0.6341463414634146	41	0.9815686274509804	51
chb_from_introgression	gamma_smc_meanp	20000.0	100	100	0.7650000000000001	0.46	0.09900990099009901	0.44625000000000004	8	0.56	41	0.9798039215686274	51
chb_from_introgression	gamma_smc_meanp	30000.0	100	100	0.7377000000000001	0.42	0.10891089108910891	0.43499999999999994	8	0.5002439024390244	41	0.976078431372549	51
chb_from_introgression	gamma_smc_meanp	40000.0	100	100	0.7127	0.41	0.1485148514851485	0.4262499999999999	8	0.4473170731707316	41	0.9709803921568627	51
chb_from_introgression	gamma_smc_meanp	50000.0	100	100	0.6897	0.37	0.1485148514851485	0.4175	8	0.40341463414634154	41	0.9625490196078432	51
chb_from_introgression	tree_truth	1000.0	100	100	0.5100000000000002	0.04	1.0	0.5525	8	0.5021951219512195	41	0.5096078431372548	51
chb_from_introgression	tree_truth	4500.0	100	100	0.5211999999999999	0.03	1.0	0.49187499999999995	8	0.5179268292682927	41	0.5284313725490196	51
chb_from_introgression	tree_truth	10000.0	100	100	0.5225499999999998	0.0	1.0	0.55625	8	0.5296341463414634	41	0.5115686274509804	51
chb_from_introgression	tree_truth	20000.0	100	100	0.8322499999999999	0.48	0.07920792079207921	0.683125	8	0.9474390243902439	41	0.7630392156862746	51
chb_from_introgression	tree_truth	30000.0	100	100	0.9459999999999998	0.81	0.009900990099009901	0.53125	8	0.9924390243902439	41	0.9737254901960785	51
chb_from_introgression	tree_truth	40000.0	100	100	0.8883500000000001	0.71	0.009900990099009901	0.40750000000000003	8	0.851219512195122	41	0.9936274509803921	51
chb_from_introgression	tree_truth	50000.0	100	100	0.82635	0.52	0.04950495049504951	0.48625	8	0.6928048780487804	41	0.9870588235294119	51
