unit_id	status	completion_path	elapsed_seconds	error_type	error	recovery_authorization_sha256
ancient_eurasia_han_introgression__af20__selected_s0p010__rep002	complete	focused_selection_EAS_sim/work/ancient_eurasia_han_introgression__af20__selected_s0p010__rep002/simulation_complete.json	1976.1299556510012			837b3f5d6ea0daa2111e3a8823932797549faa383bf49d4cad37ef852ff25110
ancient_eurasia_han_introgression__af20__selected_s0p010__rep003	complete	focused_selection_EAS_sim/work/ancient_eurasia_han_introgression__af20__selected_s0p010__rep003/simulation_complete.json	2799.663499487			837b3f5d6ea0daa2111e3a8823932797549faa383bf49d4cad37ef852ff25110
ancient_eurasia_han_introgression__af20__selected_s0p010__rep004	complete	focused_selection_EAS_sim/work/ancient_eurasia_han_introgression__af20__selected_s0p010__rep004/simulation_complete.json	3614.0547225210003			837b3f5d6ea0daa2111e3a8823932797549faa383bf49d4cad37ef852ff25110
ancient_eurasia_han_introgression__af20__selected_s0p010__rep005	complete	focused_selection_EAS_sim/work/ancient_eurasia_han_introgression__af20__selected_s0p010__rep005/simulation_complete.json	941.4642220100004			837b3f5d6ea0daa2111e3a8823932797549faa383bf49d4cad37ef852ff25110
ancient_eurasia_han_introgression__af20__selected_s0p010__rep006	complete	focused_selection_EAS_sim/work/ancient_eurasia_han_introgression__af20__selected_s0p010__rep006/simulation_complete.json	2214.800837446999			837b3f5d6ea0daa2111e3a8823932797549faa383bf49d4cad37ef852ff25110
ancient_eurasia_han_introgression__af20__selected_s0p010__rep007	complete	focused_selection_EAS_sim/work/ancient_eurasia_han_introgression__af20__selected_s0p010__rep007/simulation_complete.json	272.1262752599996			837b3f5d6ea0daa2111e3a8823932797549faa383bf49d4cad37ef852ff25110
ancient_eurasia_han_introgression__af20__selected_s0p010__rep008	complete	focused_selection_EAS_sim/work/ancient_eurasia_han_introgression__af20__selected_s0p010__rep008/simulation_complete.json	1107.8420295330006			837b3f5d6ea0daa2111e3a8823932797549faa383bf49d4cad37ef852ff25110
ancient_eurasia_han_introgression__af20__selected_s0p010__rep009	complete	focused_selection_EAS_sim/work/ancient_eurasia_han_introgression__af20__selected_s0p010__rep009/simulation_complete.json	322.9631366570002			837b3f5d6ea0daa2111e3a8823932797549faa383bf49d4cad37ef852ff25110
ancient_eurasia_han_introgression__af20__selected_s0p010__rep010	complete	focused_selection_EAS_sim/work/ancient_eurasia_han_introgression__af20__selected_s0p010__rep010/simulation_complete.json	2778.095357106			837b3f5d6ea0daa2111e3a8823932797549faa383bf49d4cad37ef852ff25110
ancient_eurasia_han_introgression__af30__selected_s0p005__rep002	complete	focused_selection_EAS_sim/work/ancient_eurasia_han_introgression__af30__selected_s0p005__rep002/simulation_complete.json	504.24513326300075			837b3f5d6ea0daa2111e3a8823932797549faa383bf49d4cad37ef852ff25110
ancient_eurasia_han_introgression__af30__selected_s0p005__rep003	complete	focused_selection_EAS_sim/work/ancient_eurasia_han_introgression__af30__selected_s0p005__rep003/simulation_complete.json	2262.0927950020005			837b3f5d6ea0daa2111e3a8823932797549faa383bf49d4cad37ef852ff25110
ancient_eurasia_han_introgression__af30__selected_s0p005__rep004	complete	focused_selection_EAS_sim/work/ancient_eurasia_han_introgression__af30__selected_s0p005__rep004/simulation_complete.json	320.1586756480001			837b3f5d6ea0daa2111e3a8823932797549faa383bf49d4cad37ef852ff25110
ancient_eurasia_han_introgression__af30__selected_s0p005__rep005	complete	focused_selection_EAS_sim/work/ancient_eurasia_han_introgression__af30__selected_s0p005__rep005/simulation_complete.json	181.70029996999983			837b3f5d6ea0daa2111e3a8823932797549faa383bf49d4cad37ef852ff25110
ancient_eurasia_han_introgression__af30__selected_s0p005__rep006	complete	focused_selection_EAS_sim/work/ancient_eurasia_han_introgression__af30__selected_s0p005__rep006/simulation_complete.json	973.0362280660001			837b3f5d6ea0daa2111e3a8823932797549faa383bf49d4cad37ef852ff25110
ancient_eurasia_han_introgression__af30__selected_s0p005__rep007	complete	focused_selection_EAS_sim/work/ancient_eurasia_han_introgression__af30__selected_s0p005__rep007/simulation_complete.json	1236.102257370001			837b3f5d6ea0daa2111e3a8823932797549faa383bf49d4cad37ef852ff25110
ancient_eurasia_han_introgression__af30__selected_s0p005__rep008	complete	focused_selection_EAS_sim/work/ancient_eurasia_han_introgression__af30__selected_s0p005__rep008/simulation_complete.json	1154.3932783420005			837b3f5d6ea0daa2111e3a8823932797549faa383bf49d4cad37ef852ff25110
ancient_eurasia_han_introgression__af30__selected_s0p005__rep009	complete	focused_selection_EAS_sim/work/ancient_eurasia_han_introgression__af30__selected_s0p005__rep009/simulation_complete.json	847.1159784909996			837b3f5d6ea0daa2111e3a8823932797549faa383bf49d4cad37ef852ff25110
ancient_eurasia_han_introgression__af30__selected_s0p005__rep010	complete	focused_selection_EAS_sim/work/ancient_eurasia_han_introgression__af30__selected_s0p005__rep010/simulation_complete.json	273.4426729839997			837b3f5d6ea0daa2111e3a8823932797549faa383bf49d4cad37ef852ff25110
ancient_eurasia_han_introgression__af30__selected_s0p010__rep002	complete	focused_selection_EAS_sim/work/ancient_eurasia_han_introgression__af30__selected_s0p010__rep002/simulation_complete.json	1605.4487031429999			837b3f5d6ea0daa2111e3a8823932797549faa383bf49d4cad37ef852ff25110
ancient_eurasia_han_introgression__af30__selected_s0p010__rep003	complete	focused_selection_EAS_sim/work/ancient_eurasia_han_introgression__af30__selected_s0p010__rep003/simulation_complete.json	625.5800024649998			837b3f5d6ea0daa2111e3a8823932797549faa383bf49d4cad37ef852ff25110
ancient_eurasia_han_introgression__af30__selected_s0p010__rep004	complete	focused_selection_EAS_sim/work/ancient_eurasia_han_introgression__af30__selected_s0p010__rep004/simulation_complete.json	590.294513453			837b3f5d6ea0daa2111e3a8823932797549faa383bf49d4cad37ef852ff25110
ancient_eurasia_han_introgression__af30__selected_s0p010__rep005	complete	focused_selection_EAS_sim/work/ancient_eurasia_han_introgression__af30__selected_s0p010__rep005/simulation_complete.json	1370.066917094			837b3f5d6ea0daa2111e3a8823932797549faa383bf49d4cad37ef852ff25110
ancient_eurasia_han_introgression__af30__selected_s0p010__rep006	complete	focused_selection_EAS_sim/work/ancient_eurasia_han_introgression__af30__selected_s0p010__rep006/simulation_complete.json	705.3841322949993			837b3f5d6ea0daa2111e3a8823932797549faa383bf49d4cad37ef852ff25110
ancient_eurasia_han_introgression__af30__selected_s0p010__rep007	complete	focused_selection_EAS_sim/work/ancient_eurasia_han_introgression__af30__selected_s0p010__rep007/simulation_complete.json	526.2224908740009			837b3f5d6ea0daa2111e3a8823932797549faa383bf49d4cad37ef852ff25110
ancient_eurasia_han_introgression__af30__selected_s0p010__rep008	complete	focused_selection_EAS_sim/work/ancient_eurasia_han_introgression__af30__selected_s0p010__rep008/simulation_complete.json	439.2052792109989			837b3f5d6ea0daa2111e3a8823932797549faa383bf49d4cad37ef852ff25110
ancient_eurasia_han_introgression__af30__selected_s0p010__rep009	complete	focused_selection_EAS_sim/work/ancient_eurasia_han_introgression__af30__selected_s0p010__rep009/simulation_complete.json	630.0381484210011			837b3f5d6ea0daa2111e3a8823932797549faa383bf49d4cad37ef852ff25110
ancient_eurasia_han_introgression__af30__selected_s0p010__rep010	complete	focused_selection_EAS_sim/work/ancient_eurasia_han_introgression__af30__selected_s0p010__rep010/simulation_complete.json	2819.6611327440005			837b3f5d6ea0daa2111e3a8823932797549faa383bf49d4cad37ef852ff25110
