invocation_index	recorded_at_utc	simulation_contract_sha256	status	elapsed_seconds	declared_timeout_seconds	effective_timeout_seconds	completed_external_sample_panel_draws	interrupted_internal_conditioned_trajectories	error_type	core_source_sha256	orchestrator_source_sha256
1	2026-08-12T10:42:23.476739+00:00	64c2bd6f9e2281dcb55b072e3b003307dad6f857eb53965d2434c321f6cd66f5	timed_out	300.1802105999668	300.0	300.0	0	1	SpecificationTimeout	legacy_unknown	legacy_unknown
2	2026-08-12T12:22:41.377224+00:00	64c2bd6f9e2281dcb55b072e3b003307dad6f857eb53965d2434c321f6cd66f5	timed_out	300.25025699997786	300.0	300.0	0	2	SpecificationTimeout	legacy_unknown	legacy_unknown
3	2026-08-12T21:06:28.663580+00:00	64c2bd6f9e2281dcb55b072e3b003307dad6f857eb53965d2434c321f6cd66f5	complete	267.0862272999984	300.0	300.0	1	2		bef802f46dde46318c03c70629c581475c10437122132714a518c0cd3e29a766	74d4d9cc2b8d7f1b58c80376a79f7e6d9d2396ed96c175caaf659f93068c838c
